step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
492,335,748,35,59564,76
493,315,744,53,59656,92
494,303,730,54,59744,88
495,306,732,43,59812,68
496,313,732,27,59868,56
497,320,732,27,59924,56
498,310,744,48,59996,72
499,328,748,25,60048,52
500,342,742,27,60104,56
501,333,742,44,60156,52
502,342,738,24,60204,48
503,330,750,37,60264,60
504,321,754,30,60332,68
505,310,764,39,60404,72
506,315,762,35,60464,60
507,323,774,25,60524,60
508,321,760,39,60604,80
509,319,780,41,60684,80
510,315,760,44,60768,84
511,314,780,40,60852,84
512,301,766,49,60924,72
513,308,790,31,60980,56
514,315,794,17,61016,36
515,321,804,26,61068,52
516,309,798,52,61144,76
517,327,798,23,61196,52
518,318,802,49,61272,76
519,321,792,29,61340,68
520,308,774,41,61428,88
521,292,772,61,61504,76
522,303,786,33,61568,64
523,305,750,30,61628,60
524,315,758,19,61668,40
525,319,756,28,61724,56
526,298,772,50,61800,76
527,290,752,39,61876,76
528,293,752,34,61940,64
529,291,742,32,61992,52
530,306,744,21,62040,48
531,298,728,39,62124,84
532,289,738,40,62208,84
533,298,776,28,62264,56
534,312,768,22,62312,48
535,330,776,22,62360,48
536,343,802,24,62412,52
537,348,814,37,62472,60
538,346,814,44,62548,76
539,343,798,32,62620,72
540,349,812,29,62688,68
541,344,820,29,62748,60
542,343,826,32,62816,68
543,334,826,39,62892,76
544,333,838,38,62964,72
545,321,846,46,63044,80
546,318,870,45,63120,76
547,310,864,42,63208,88
548,304,892,43,63292,84
549,319,870,24,63344,52
550,334,878,25,63400,56
551,338,830,38,63452,52
552,335,792,46,63516,64
553,351,784,29,63564,48
554,347,804,45,63628,64
555,360,768,38,63684,56
556,371,758,29,63736,52
557,381,756,29,63796,60
558,373,758,37,63864,68
559,354,782,62,63940,76
560,355,784,37,64008,68
561,351,772,36,64076,68
562,350,778,43,64148,72
563,352,788,42,64224,76
564,359,814,35,64296,72
565,349,840,40,64388,92
566,351,844,29,64456,68
567,337,834,33,64524,68
568,335,828,23,64576,52
569,316,812,45,64664,88
570,303,792,40,64748,84
571,279,766,54,64828,80
572,274,786,40,64908,80
573,273,794,41,64992,84
574,280,792,36,65060,68
575,289,814,26,65124,64
