step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
72,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20926742,1467.193536,nan,20.926742,nan,120,960,558558,17268960,3098264,120
73,-100.0,5.0,796,398,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20881372,1488.074908,nan,20.881372,nan,120,960,551628,17268960,3059824,120
74,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20808780,1508.883688,nan,20.80878,nan,120,960,540540,17268960,2998320,120
75,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,1529.547284,nan,20.663596,nan,120,960,518364,17268960,2875312,120
76,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20708966,1550.25625,nan,20.708966,nan,120,960,525294,17268960,2913752,120
77,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20763410,1571.01966,nan,20.76341,nan,120,960,533610,17268960,2959880,120
78,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20727114,1591.746774,nan,20.727114,nan,120,960,528066,17268960,2929128,120
79,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21026556,1612.77333,nan,21.026556,nan,120,960,573804,17268960,3182832,120
80,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,1633.71822,nan,20.94489,nan,120,960,561330,17268960,3113640,120
81,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20790632,1654.508852,nan,20.790632,nan,120,960,537768,17268960,2982944,120
82,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20763410,1675.272262,nan,20.76341,nan,120,960,533610,17268960,2959880,120
83,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20754336,1696.026598,nan,20.754336,nan,120,960,532224,17268960,2952192,120
84,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20781558,1716.808156,nan,20.781558,nan,120,960,536382,17268960,2975256,120
85,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20718040,1737.526196,nan,20.71804,nan,120,960,526680,17268960,2921440,120
86,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20500264,1758.02646,nan,20.500264,nan,120,960,493416,17268960,2736928,120
87,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20527486,1778.553946,nan,20.527486,nan,120,960,497574,17268960,2759992,120
88,-100.0,5.0,696,348,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20427672,1798.981618,nan,20.427672,nan,120,960,482328,17268960,2675424,120
89,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,1819.427438,nan,20.44582,nan,120,960,485100,17268960,2690800,120
90,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20418598,1839.846036,nan,20.418598,nan,120,960,480942,17268960,2667736,120
91,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20463968,1860.310004,nan,20.463968,nan,120,960,487872,17268960,2706176,120
92,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,1880.755824,nan,20.44582,nan,120,960,485100,17268960,2690800,120
93,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,1901.201644,nan,20.44582,nan,120,960,485100,17268960,2690800,120
94,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,1921.647464,nan,20.44582,nan,120,960,485100,17268960,2690800,120
95,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20409524,1942.056988,nan,20.409524,nan,120,960,479556,17268960,2660048,120
