map_id,method_id,method_label,method_family,status,tail_rmse_db,model_transfers,final_step,source_run_directory
factor_b2_v1,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,15.387815,114384,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_pull4_eval50_tail10x25
factor_b2_v2,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,15.849626,279492,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_weighted_pull4_eval50_tail10x25
factor_b2_v3,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,15.268407,433339,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_weighted_pull4_eval50_tail10x25
factor_b3_v1,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,24.620901,105551,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_weighted_pull4_eval50_tail10x25
factor_b3_v2,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,12.951751,260296,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_weighted_pull4_eval50_tail10x25
factor_b3_v3,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,11.148881,396929,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v1,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,17.464457,391923,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v2,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,14.652938,2211225,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v3,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,7.397303,5921902,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_greedy_eval50_tail10x25
factor_b2_v1,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,15.120507,407127,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_greedy_eval50_tail10x25
factor_b2_v2,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,18.238513,2208858,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_weighted_greedy_eval50_tail10x25
factor_b2_v3,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,13.635049,5782204,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_weighted_greedy_eval50_tail10x25
factor_b3_v1,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,24.675008,480376,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_weighted_greedy_eval50_tail10x25
factor_b3_v2,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,12.590880,1705071,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_weighted_greedy_eval50_tail10x25
factor_b3_v3,sample_count_all,"Sample count, all available",deterministic_sample_count,complete,11.087491,4291561,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_weighted_greedy_eval50_tail10x25
factor_b1_v1,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,25.506166,119803,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_expert_kappa2_eval50_tail10x25
factor_b1_v2,learned_expert_bank_kappa2,"Learned Expert Bank, kappa=0.02",pretrained_learned_acquisition,complete,17.510295,89047,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_expert_kappa2_eval50_tail10x25
