step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
16,t2_b0,42,7,40,0,
16,t2_b0,43,7,44,0,
16,t2_b0,44,8,41,0,
16,t2_b0,45,10,45,0,
16,t2_b0,46,8,36,0,
16,t2_b0,47,9,38,0,
16,t2_b0,48,13,56,0,
16,t2_b0,49,2,30,0,
16,t2_b0,50,7,26,0,
16,t2_b0,51,7,44,0,
16,t2_b0,55,4,25,0,
16,t2_b0,56,6,32,0,
16,t2_b0,57,6,34,0,
16,t2_b0,58,43,65,4,0.5621598958969116
17,t2_b0,0,7,51,0,
17,t2_b0,2,4,33,0,
17,t2_b0,3,3,14,0,
17,t2_b0,4,7,22,0,
17,t2_b0,5,8,20,0,
17,t2_b0,6,2,27,0,
17,t2_b0,7,1,11,0,
17,t2_b0,8,2,21,0,
17,t2_b0,10,6,33,0,
17,t2_b0,11,2,40,0,
17,t2_b0,12,5,39,0,
17,t2_b0,13,3,39,0,
17,t2_b0,14,6,48,0,
17,t2_b0,15,11,58,0,
17,t2_b0,16,8,55,0,
17,t2_b0,18,7,31,0,
17,t2_b0,19,2,16,0,
17,t2_b0,20,8,53,0,
17,t2_b0,21,7,44,0,
17,t2_b0,23,5,33,0,
17,t2_b0,24,6,34,0,
17,t2_b0,25,7,33,0,
17,t2_b0,27,4,37,0,
17,t2_b0,28,12,65,4,0.803770124912262
17,t2_b0,29,5,36,0,
17,t2_b0,30,4,31,0,
17,t2_b0,31,10,60,0,
17,t2_b0,32,6,38,0,
17,t2_b0,33,6,38,0,
17,t2_b0,34,4,36,0,
17,t2_b0,35,8,55,0,
17,t2_b0,36,6,38,0,
17,t2_b0,37,7,54,0,
17,t2_b0,38,3,38,0,
17,t2_b0,40,3,39,0,
17,t2_b0,41,7,58,0,
17,t2_b0,42,6,46,0,
17,t2_b0,43,10,54,0,
17,t2_b0,44,5,46,0,
17,t2_b0,45,11,56,0,
17,t2_b0,46,5,41,0,
17,t2_b0,47,5,43,0,
17,t2_b0,48,8,64,4,0.6501549482345581
