step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
338,964,778,162,51004,168
339,990,786,92,51156,152
340,1014,778,94,51312,156
341,996,820,132,51480,168
342,1018,826,96,51640,160
343,1036,814,100,51808,168
344,1038,812,114,51972,164
345,1040,828,114,52136,164
346,1002,832,150,52308,172
347,1042,830,80,52468,160
348,1036,808,122,52648,180
349,1050,818,104,52824,176
350,1028,808,136,53000,176
351,1006,844,136,53176,176
352,1008,860,114,53348,172
353,990,884,132,53516,168
354,1030,880,80,53676,160
355,994,922,148,53844,168
356,994,948,116,54012,168
357,998,958,112,54172,160
358,1020,952,96,54332,160
359,1024,972,112,54492,160
360,1061,964,82,54656,164
361,1057,950,120,54832,176
362,1071,952,104,55008,176
363,1099,952,92,55192,184
364,1073,1034,140,55376,184
365,1063,966,126,55564,188
366,1072,966,109,55756,192
367,1096,964,96,55948,192
368,1082,962,130,56144,196
369,1032,952,162,56340,196
370,1008,916,138,56520,180
371,968,906,152,56696,176
372,970,894,114,56860,164
373,994,880,94,57016,156
374,996,868,114,57180,164
375,1016,826,98,57344,164
376,982,828,146,57508,164
377,1009,794,90,57656,148
378,1012,788,110,57812,156
379,1034,788,96,57972,160
380,1034,772,116,58140,168
381,1066,762,88,58316,176
382,1076,752,108,58500,184
383,1070,750,122,58684,184
384,1098,760,92,58868,184
385,1106,758,110,59056,188
386,1092,746,130,59252,196
387,1080,754,128,59444,192
388,1066,766,130,59640,196
389,1036,750,144,59832,192
390,1044,754,110,60020,188
391,1072,744,92,60204,184
392,1026,730,158,60392,188
393,1002,740,138,60572,180
394,1038,730,84,60740,168
395,1072,730,86,60912,172
396,1066,752,122,61092,180
397,1060,754,122,61272,180
398,1018,738,154,61452,180
399,1032,740,104,61628,176
400,1028,738,120,61804,176
401,1010,746,132,61972,168
402,1008,738,118,62144,172
403,1022,746,104,62320,176
404,1020,734,118,62492,172
405,1004,738,130,62656,164
406,1026,740,96,62816,160
407,1028,758,114,62980,164
408,990,738,150,63156,176
409,994,740,112,63316,160
410,962,750,142,63480,164
