step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
589,0,16,4,1661,4
590,0,16,4,1665,4
591,0,10,3,1668,3
592,0,4,2,1670,2
593,0,2,1,1671,1
594,0,4,2,1673,2
595,0,4,2,1675,2
596,0,4,2,1677,2
597,0,10,3,1680,3
598,0,14,3,1683,3
599,0,14,4,1687,4
600,0,12,3,1690,3
601,0,10,4,1694,4
602,0,12,4,1698,4
603,0,8,4,1702,4
604,0,8,4,1706,4
605,0,10,4,1710,4
606,0,8,3,1713,3
607,0,10,3,1716,3
608,0,10,3,1719,3
609,0,10,3,1722,3
610,0,10,3,1725,3
611,0,12,4,1729,4
612,0,12,4,1733,4
613,0,12,4,1737,4
614,0,12,4,1741,4
615,0,12,4,1745,4
616,0,10,3,1748,3
617,0,10,3,1751,3
618,0,10,3,1754,3
619,0,16,3,1757,3
620,0,16,3,1760,3
621,0,16,3,1763,3
622,0,14,3,1766,3
623,0,12,4,1770,4
624,0,12,3,1773,3
625,0,10,3,1776,3
626,0,14,3,1779,3
627,0,14,4,1783,4
628,0,14,3,1786,3
629,0,14,4,1790,4
630,0,14,4,1794,4
631,0,18,3,1797,3
632,0,18,3,1800,3
633,0,20,3,1803,3
634,0,18,3,1806,3
635,0,16,3,1809,3
636,0,16,3,1812,3
637,0,10,3,1815,3
638,0,8,3,1818,3
639,0,8,2,1820,2
640,0,8,3,1823,3
641,0,8,3,1826,3
642,0,4,2,1828,2
643,0,2,1,1829,1
644,0,2,1,1830,1
645,0,2,1,1831,1
646,0,6,3,1834,3
647,0,8,3,1837,3
648,0,10,3,1840,3
649,0,10,3,1843,3
650,0,12,3,1846,3
651,0,14,3,1849,3
652,0,12,3,1852,3
653,0,14,3,1855,3
654,0,16,4,1859,4
655,0,16,3,1862,3
656,0,22,3,1865,3
657,0,22,2,1867,2
658,0,20,3,1870,3
659,0,16,3,1873,3
660,0,12,2,1875,2
661,0,8,2,1877,2
662,0,8,2,1879,2
663,0,12,4,1883,4
664,0,8,4,1887,4
665,0,8,3,1890,3
666,0,8,3,1893,3
667,0,8,3,1896,3
668,0,8,3,1899,3
669,0,8,3,1902,3
670,0,10,4,1906,4
671,0,10,4,1910,4
672,0,10,4,1914,4
673,0,8,3,1917,3
674,0,8,3,1920,3
675,0,10,2,1922,2
676,0,14,3,1925,3
677,0,18,3,1928,3
678,0,22,2,1930,2
679,0,24,3,1933,3
680,0,22,2,1935,2
681,0,18,2,1937,2
682,0,16,3,1940,3
683,0,12,3,1943,3
684,0,14,3,1946,3
685,0,12,3,1949,3
686,0,8,2,1951,2
687,0,8,2,1953,2
688,0,6,1,1954,1
689,0,6,1,1955,1
690,0,4,1,1956,1
691,0,2,1,1957,1
692,0,4,1,1958,1
693,0,8,3,1961,3
694,0,8,3,1964,3
695,0,10,4,1968,4
696,0,10,4,1972,4
697,0,10,3,1975,3
698,0,10,4,1979,4
699,0,10,3,1982,3
700,0,14,4,1986,4
701,0,14,3,1989,3
702,0,14,4,1993,4
703,0,14,3,1996,3
704,0,14,4,2000,4
705,0,14,4,2004,4
706,0,14,4,2008,4
707,0,14,4,2012,4
708,0,14,4,2016,4
709,0,14,3,2019,3
710,0,14,4,2023,4
711,0,14,3,2026,3
712,0,14,4,2030,4
713,0,14,3,2033,3
714,0,14,4,2037,4
715,0,14,3,2040,3
716,0,14,4,2044,4
717,0,14,3,2047,3
718,0,14,4,2051,4
719,0,14,3,2054,3
720,0,14,4,2058,4
721,0,18,3,2061,3
722,0,18,3,2064,3
723,0,18,3,2067,3
724,0,20,3,2070,3
725,0,18,3,2073,3
726,0,16,2,2075,2
727,0,10,3,2078,3
728,0,8,2,2080,2
729,0,4,1,2081,1
730,0,6,1,2082,1
731,0,4,1,2083,1
732,0,4,1,2084,1
733,0,2,1,2085,1
734,0,4,2,2087,2
735,0,6,3,2090,3
736,0,4,2,2092,2
737,0,4,2,2094,2
738,0,4,2,2096,2
739,0,6,2,2098,2
740,0,6,3,2101,3
741,0,8,3,2104,3
742,0,8,3,2107,3
743,0,10,3,2110,3
744,0,10,3,2113,3
745,0,10,3,2116,3
746,0,10,3,2119,3
747,0,12,3,2122,3
748,0,12,3,2125,3
749,0,12,3,2128,3
750,0,12,3,2131,3
751,0,12,3,2134,3
752,0,12,3,2137,3
753,0,12,3,2140,3
754,0,12,3,2143,3
755,0,12,3,2146,3
756,0,12,3,2149,3
757,0,12,3,2152,3
758,0,12,3,2155,3
759,0,12,3,2158,3
760,0,12,3,2161,3
761,0,12,3,2164,3
762,0,12,3,2167,3
763,0,12,3,2170,3
764,0,12,3,2173,3
765,0,12,3,2176,3
766,0,18,3,2179,3
767,0,18,3,2182,3
768,0,18,3,2185,3
769,0,18,3,2188,3
770,0,18,3,2191,3
771,0,10,3,2194,3
772,0,6,2,2196,2
773,0,6,2,2198,2
774,0,4,1,2199,1
775,0,4,1,2200,1
776,0,6,1,2201,1
777,0,6,1,2202,1
778,0,8,2,2204,2
779,0,8,2,2206,2
780,0,10,3,2209,3
781,0,8,2,2211,2
782,0,8,3,2214,3
783,0,8,3,2217,3
784,0,8,3,2220,3
785,0,10,3,2223,3
786,0,14,2,2225,2
787,0,16,2,2227,2
788,0,18,3,2230,3
789,0,18,4,2234,4
790,0,16,3,2237,3
791,0,16,3,2240,3
792,0,16,3,2243,3
793,0,14,4,2247,4
794,0,12,3,2250,3
795,0,12,3,2253,3
796,0,12,3,2256,3
797,0,12,3,2259,3
798,0,12,3,2262,3
799,0,12,4,2266,4
800,0,12,3,2269,3
801,0,12,3,2272,3
802,0,14,4,2276,4
803,0,16,5,2281,5
804,0,18,3,2284,3
805,0,18,4,2288,4
806,0,18,3,2291,3
807,0,18,4,2295,4
808,0,12,3,2298,3
809,0,12,4,2302,4
810,0,20,3,2305,3
811,0,26,3,2308,3
812,0,26,3,2311,3
813,0,26,4,2315,4
814,0,28,3,2318,3
815,0,22,4,2322,4
816,0,20,3,2325,3
817,0,12,4,2329,4
818,0,8,3,2332,3
819,0,4,2,2334,2
820,0,4,2,2336,2
821,0,2,1,2337,1
822,0,6,2,2339,2
823,0,6,1,2340,1
824,0,6,1,2341,1
825,0,6,1,2342,1
826,0,10,2,2344,2
827,0,8,2,2346,2
828,0,4,2,2348,2
829,0,4,2,2350,2
830,0,4,2,2352,2
831,0,6,3,2355,3
832,0,6,3,2358,3
833,0,12,3,2361,3
834,0,12,3,2364,3
835,0,14,3,2367,3
836,0,18,3,2370,3
837,0,14,3,2373,3
838,0,12,3,2376,3
839,0,14,3,2379,3
840,0,16,3,2382,3
841,0,12,3,2385,3
842,0,12,3,2388,3
843,0,12,3,2391,3
844,0,14,4,2395,4
845,0,14,4,2399,4
846,0,16,4,2403,4
847,0,14,4,2407,4
848,0,10,4,2411,4
849,0,10,4,2415,4
850,0,10,4,2419,4
851,0,10,4,2423,4
852,0,10,4,2427,4
853,0,10,4,2431,4
854,0,10,4,2435,4
855,0,10,4,2439,4
856,0,12,4,2443,4
857,0,12,4,2447,4
858,0,12,4,2451,4
859,0,12,4,2455,4
860,0,12,4,2459,4
861,0,6,2,2461,2
862,0,4,1,2462,1
863,0,6,1,2463,1
864,0,4,1,2464,1
865,0,8,2,2466,2
866,0,8,2,2468,2
867,0,10,3,2471,3
868,0,10,2,2473,2
869,0,10,3,2476,3
870,0,12,2,2478,2
871,0,16,2,2480,2
872,0,18,3,2483,3
873,0,22,3,2486,3
874,0,20,3,2489,3
875,0,16,3,2492,3
876,0,14,3,2495,3
877,0,16,4,2499,4
878,0,14,4,2503,4
879,0,14,3,2506,3
880,0,16,4,2510,4
881,0,14,4,2514,4
882,0,14,4,2518,4
883,0,12,4,2522,4
884,0,8,3,2525,3
885,0,10,3,2528,3
886,0,10,3,2531,3
887,0,10,3,2534,3
888,0,10,3,2537,3
889,0,12,4,2541,4
890,0,10,3,2544,3
891,0,10,4,2548,4
892,0,10,3,2551,3
893,0,10,4,2555,4
894,0,10,3,2558,3
895,0,10,4,2562,4
896,0,10,3,2565,3
897,0,10,4,2569,4
898,0,14,3,2572,3
899,0,14,3,2575,3
900,0,14,3,2578,3
901,0,18,4,2582,4
902,0,18,3,2585,3
903,0,18,3,2588,3
904,0,20,3,2591,3
905,0,20,3,2594,3
906,0,20,4,2598,4
907,0,18,3,2601,3
908,0,10,2,2603,2
909,0,6,1,2604,1
910,0,4,2,2606,2
911,0,4,2,2608,2
912,0,2,1,2609,1
913,0,4,2,2611,2
914,0,4,2,2613,2
915,0,4,2,2615,2
916,0,0,0,2615,0
917,0,4,1,2616,1
918,0,6,2,2618,2
919,0,6,2,2620,2
920,0,10,2,2622,2
921,0,10,2,2624,2
922,0,10,2,2626,2
923,0,8,2,2628,2
924,0,6,2,2630,2
925,0,10,2,2632,2
926,0,12,2,2634,2
927,0,12,2,2636,2
928,0,12,3,2639,3
929,0,10,2,2641,2
930,0,8,3,2644,3
931,0,10,2,2646,2
932,0,10,2,2648,2
933,0,10,2,2650,2
934,0,12,3,2653,3
935,0,12,3,2656,3
