step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
596,2933,712,376,97444,180
597,2902,730,375,97624,180
598,2972,744,288,97800,176
599,2880,762,452,97972,172
600,2928,776,324,98128,156
601,2971,790,316,98272,144
602,3143,790,226,98416,144
603,3044,778,437,98572,156
604,3117,782,273,98720,148
605,3183,760,298,98872,152
606,3238,778,296,99028,156
607,3243,788,367,99188,160
608,3292,814,354,99348,160
609,3259,796,413,99512,164
610,3364,788,278,99680,168
611,3385,780,363,99856,176
612,3498,780,290,100020,164
613,3312,768,528,100208,188
614,3244,766,404,100388,180
615,3305,770,302,100560,172
616,3330,764,329,100736,176
617,3216,764,458,100916,180
618,3228,760,351,101092,176
619,3186,772,408,101272,180
620,3195,790,379,101440,168
621,3353,788,263,101604,164
622,3396,778,338,101768,164
623,3430,774,346,101944,176
624,3522,778,289,102128,184
625,3513,798,398,102316,188
626,3445,790,446,102496,180
627,3409,792,415,102676,180
628,3427,778,347,102852,176
629,3455,788,362,103036,184
630,3417,778,401,103224,188
631,3312,776,463,103404,180
632,3243,762,416,103576,172
633,3182,782,431,103744,168
634,3188,816,396,103900,156
635,3267,842,329,104052,152
636,3286,834,384,104208,156
637,3453,832,253,104364,156
638,3515,850,348,104532,168
639,3486,828,409,104700,168
640,3459,826,414,104868,168
641,3560,814,297,105032,164
642,3631,814,312,105192,160
643,3701,822,266,105348,156
644,3769,840,258,105504,156
645,3722,858,351,105656,152
646,3795,862,193,105784,128
647,3818,854,221,105912,128
648,3711,818,309,106040,128
649,3692,804,247,106164,124
650,3673,816,261,106284,120
651,3630,828,278,106404,120
652,3510,818,338,106524,120
653,3528,796,225,106636,112
654,3377,796,370,106756,120
655,3408,784,209,106880,124
656,3373,762,303,107020,140
657,3284,752,369,107168,148
658,3096,750,505,107332,164
659,3132,732,297,107484,152
660,3153,738,314,107644,160
661,3129,744,378,107808,164
662,3212,758,284,107980,172
663,3045,760,502,108152,172
664,3062,782,339,108316,164
665,3125,770,321,108476,160
666,2992,786,498,108640,164
667,3140,770,224,108788,148
668,3172,762,314,108956,168
669,3238,774,307,109120,164
670,3195,796,398,109288,168
671,3346,780,232,109440,152
672,3491,790,233,109596,156
673,3448,798,373,109772,176
674,3319,764,438,109936,164
675,3346,738,270,110096,160
676,3294,734,344,110264,168
677,3363,744,249,110424,160
678,3320,768,346,110576,152
679,3327,776,289,110724,148
680,3283,758,339,110880,156
681,3291,802,299,111016,136
682,3178,780,400,111148,132
683,3206,748,253,111296,148
684,3149,750,343,111448,152
685,3109,748,338,111596,148
686,3126,734,283,111748,152
687,3200,736,246,111900,152
688,3043,708,457,112060,160
689,2999,692,366,112212,152
690,2888,698,402,112368,156
691,2975,702,270,112516,148
692,3048,696,280,112676,160
693,3069,696,300,112840,164
694,3074,702,314,113012,172
695,2965,734,430,113196,184
696,2980,728,317,113368,172
697,3043,736,284,113532,164
698,3101,726,300,113708,176
699,2973,734,438,113892,184
700,2809,748,490,114072,180
701,2882,752,272,114232,160
702,2945,766,292,114392,160
703,2876,782,427,114552,160
704,3045,786,215,114700,148
705,3076,822,377,114864,164
706,3123,794,339,115024,160
707,3199,798,323,115180,156
708,3092,772,478,115340,160
709,3260,770,210,115492,152
710,3371,756,261,115664,172
711,3331,752,399,115840,176
712,3328,768,360,116004,164
713,3297,772,404,116168,164
714,3426,778,250,116324,156
715,3518,800,308,116492,168
716,3385,802,494,116664,172
717,3485,804,294,116828,164
718,3526,794,313,117012,184
719,3586,792,293,117196,184
720,3487,766,457,117380,184
721,3488,778,361,117564,184
722,3475,780,402,117752,188
723,3524,772,335,117944,192
724,3548,780,349,118136,192
725,3613,790,328,118328,192
726,3535,792,457,118532,204
727,3617,796,294,118716,184
728,3589,794,377,118884,168
729,3683,802,222,119040,156
730,3581,818,388,119212,172
731,3605,832,272,119360,148
732,3601,808,253,119504,144
733,3647,800,168,119636,132
734,3591,796,266,119760,124
735,3478,826,321,119872,112
736,3542,830,152,119980,108
737,3544,814,181,120088,108
738,3460,874,287,120196,108
739,3416,872,220,120284,88
740,3273,824,319,120384,100
741,3244,834,246,120480,96
742,3345,876,148,120568,88
743,3431,934,145,120648,80
744,3473,914,183,120736,88
745,3451,912,266,120832,96
746,3413,856,285,120920,88
747,3400,832,285,121012,92
748,3500,836,168,121116,104
749,3627,824,155,121220,104
750,3662,792,232,121348,128
751,3728,786,179,121480,132
752,3698,782,305,121632,152
753,3635,790,313,121788,156
754,3687,784,233,121944,156
755,3588,798,419,122116,172
756,3630,794,284,122300,184
757,3573,768,368,122488,188
758,3452,756,419,122664,176
759,3478,758,273,122836,172
760,3438,760,338,123016,180
761,3405,736,301,123188,172
762,3407,764,288,123360,172
763,3398,768,288,123520,160
764,3373,824,320,123664,144
765,3343,794,296,123808,144
766,3382,812,232,123956,148
767,3236,774,378,124088,132
768,3177,800,321,124212,124
769,3239,786,232,124332,120
770,3211,758,323,124468,136
771,3328,740,205,124604,136
772,3310,738,278,124752,148
773,3393,750,224,124900,148
774,3189,730,506,125068,168
775,3140,718,363,125232,164
776,3183,726,298,125392,160
777,3114,712,393,125564,172
778,3169,696,271,125736,172
779,3032,694,451,125916,180
780,3085,692,275,126088,172
781,3022,680,376,126268,180
782,2937,676,394,126444,176
783,2923,670,346,126616,172
784,2984,668,281,126792,176
785,2929,686,389,126976,184
786,2994,704,293,127148,172
787,3038,700,291,127324,176
788,3063,736,333,127496,172
789,3006,736,396,127676,180
790,3151,744,230,127840,164
791,3144,740,366,128016,176
792,3195,744,311,128192,176
793,3123,722,417,128372,180
794,3241,724,246,128536,164
795,3233,726,331,128712,176
796,3247,722,306,128888,176
797,3266,714,328,129060,172
798,3239,726,379,129240,180
799,3149,760,474,129428,188
800,3224,766,295,129600,172
801,3097,752,466,129780,180
802,2965,760,446,129956,176
803,3026,744,318,130132,176
804,3069,770,351,130304,172
805,3134,774,301,130472,168
806,3268,780,259,130636,164
807,3359,760,285,130796,160
808,3422,806,307,130952,156
809,3390,782,341,131108,156
810,3357,740,309,131248,140
811,3456,740,183,131384,136
812,3430,734,294,131540,156
813,3409,752,282,131692,152
814,3242,714,409,131848,156
815,3138,686,366,132004,156
816,3211,684,193,132156,152
817,3229,692,276,132324,168
818,3183,678,341,132504,180
819,2967,698,542,132684,180
820,2809,694,465,132856,172
821,2892,700,251,133012,156
822,2891,708,342,133176,164
823,2884,708,323,133340,164
824,2845,726,369,133508,168
825,2978,768,247,133672,164
826,2932,768,396,133836,164
827,3033,748,264,133988,152
828,3168,724,239,134144,156
829,3198,724,305,134316,172
830,3311,718,272,134500,184
831,3372,734,296,134684,184
