step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
45,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60952270,2609.693276,nan,60.95227,nan,399,3192,539154,57419292,2990632,399
46,-100.0,5.0,788,394,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61861136,2671.554412,nan,61.861136,nan,405,3240,546084,58282740,3029072,405
47,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64127496,2735.681908,nan,64.127496,nan,421,3368,540540,60585268,2998320,421
48,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58685910,2794.367818,nan,58.68591,nan,383,3064,544698,55116764,3021384,383
49,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62742780,2857.110598,nan,62.74278,nan,411,3288,548856,59146188,3044448,411
50,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61168778,2918.279376,nan,61.168778,nan,400,3200,550242,57563200,3052136,400
51,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65864830,2984.144206,nan,65.86483,nan,432,3456,564102,62168256,3129016,432
52,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,69238416,3053.382622,nan,69.238416,nan,455,3640,573804,65478140,3182832,455
53,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64633104,3118.015726,nan,64.633104,nan,423,3384,573804,60873084,3182832,423
54,-100.0,5.0,808,404,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61520128,3179.535854,nan,61.520128,nan,402,3216,559944,57851016,3105952,402
