step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
575,policy,100,400,4,36,400.0,218.69444444444446,3490.5,353.8611111111111,24.95,0,173,500,14.226976968896187,3660,1035,1035,0.2827868852459016,0.2374256677743798,0.8917874396135266,0.8917874396135266,0.04124227717446447,0.8840579710144928,0.0040074672152945615,nan,0.0,nan,0.5290888392117901,0.7961352657004831,1.5047288974882278,2062.4193236714978,20426,6026,6026,0.2950161558797611,0.22025721703542187,0.8587786259541985,0.8587786259541985,0.12068949819890015,0.8831729173581149,0.005062782405332094,nan,0.0,nan,0.5281592928378886,0.7049452373050116,1.3347208822497894,1081.2387985396615
600,policy,100,400,4,36,400.0,217.88888888888889,3599.5,331.97222222222223,25.275,0,175,600,19.538793111791243,3587,1029,1029,0.2868692500696961,0.23846067257621542,0.892128279883382,0.892128279883382,0.032349784967879706,0.8862973760932945,0.0029126722445755268,nan,0.0,nan,0.5319564275516324,0.793002915451895,1.4907290792626529,2173.7249757045674,21320,6292,6292,0.2951219512195122,0.2200771777569535,0.859504132231405,0.859504132231405,0.11941984328001268,0.8838207247298157,0.0049139026118703985,nan,0.0,nan,0.5279096329717811,0.7051811824539097,1.33579904288582,1111.849173553719
625,policy,100,400,4,36,400.0,251.5,3764.75,310.72222222222223,25.275,0,177,600,19.538793111791243,3584,1077,1077,0.30050223214285715,0.22636040352034223,0.8950789229340761,0.8950789229340761,0.08716384945309434,0.8857938718662952,0.0020939243901536534,nan,0.0,nan,0.5276360242250309,0.755803156917363,1.4324328177316061,2197.1541318477252,22226,6595,6595,0.2967245568253397,0.21928633378329287,0.8617134192570128,0.8617134192570128,0.12047688378356111,0.8843062926459438,0.004775862682075452,nan,0.0,nan,0.5275374097991752,0.7047763457164519,1.335974155813421,1171.6103108415466
650,policy,100,400,4,36,400.0,242.47222222222223,3929.0,312.25,26.55,0,183,600,19.538793111791243,3584,1136,1136,0.3169642857142857,0.22350103599861515,0.8899647887323944,0.8899647887323944,0.09396668130967825,0.9172535211267606,0.0015107272860132438,nan,0.0,nan,0.5231338617359823,0.7024647887323944,1.3428012218542213,2061.207746478873,23136,6894,6894,0.2979771784232365,0.21922776435730404,0.8642297650130548,0.8642297650130548,0.1180221400489453,0.8875834058601683,0.0046284684154635335,nan,0.0,nan,0.527334558403023,0.7019147084421236,1.3310614623244077,1198.1853785900782
675,policy,100,400,4,36,400.0,222.11111111111111,4011.5,309.47222222222223,25.775,0,183,600,19.538793111791243,3563,1156,1156,0.32444569183272526,0.21616088445355613,0.8979238754325259,0.8979238754325259,0.06546253053267279,0.9134948096885813,0.0011939995711248604,nan,0.0,nan,0.5195269927939027,0.6660899653979239,1.2821084845194233,1989.597750865052,23989,7182,7182,0.2993872191421068,0.2195978797387584,0.8650793650793651,0.8650793650793651,0.11268649178496784,0.8880534670008354,0.0044881659878790794,nan,0.0,nan,0.5268771683201213,0.6986911723753829,1.3260987842822416,1227.4463937621833
700,policy,100,400,4,36,400.0,202.77777777777777,4187.75,234.16666666666666,24.7,0,197,700,19.297858340904348,3583,1186,1186,0.3310075355847056,0.2119498542999424,0.893760539629005,0.893760539629005,0.06335327692029392,0.9190556492411467,0.0010112078751451459,nan,0.0,nan,0.5185898799002343,0.6450252951096122,1.2438061753802472,1490.456155143339,24903,7478,7478,0.30028510621210297,0.21878819599444813,0.8649371489703129,0.8649371489703129,0.11236224832666442,0.8894089328697513,0.00435238973222993,nan,0.0,nan,0.5265687232317758,0.6956405456004279,1.3210821587180235,1171.8956940358385
725,policy,100,400,4,36,400.0,287.8888888888889,4370.75,339.02777777777777,29.725,0,202,700,19.297858340904348,3609,1176,1176,0.3258520365752286,0.20723061815346636,0.8852040816326531,0.8852040816326531,0.009132498544216647,0.923469387755102,0.000944273603380207,nan,0.0,nan,0.5223404231924598,0.6139455782312925,1.1753744320207058,668.8698979591836,25835,7771,7771,0.30079349719372944,0.21746191973353404,0.8652683052374212,0.8652683052374212,0.10889354250035801,0.8902329172564664,0.004240611860128049,nan,0.0,nan,0.5268114208437412,0.6910307553725389,1.3117231860041758,1095.5296615622185
750,policy,100,400,4,36,400.0,179.02777777777777,4486.5,203.02777777777777,24.875,0,205,700,19.297858340904348,3548,1160,1160,0.3269447576099211,0.2129788246853434,0.8827586206896552,0.8827586206896552,0.06790605890418647,0.9137931034482759,0.0009515982372084404,nan,0.0,nan,0.5186305497396252,0.5879310344827586,1.1336220644501664,152.55775862068967,26684,8054,8054,0.30182881127267275,0.21832774324736184,0.8668984355599701,0.8668984355599701,0.11206758967176077,0.8913583312639682,0.004139578616615945,nan,0.0,nan,0.5261772423058212,0.6854978892475788,1.3027889352332696,1047.5859200397317
775,policy,100,400,4,36,400.0,207.80555555555554,4623.75,247.63888888888889,26.525,0,206,700,19.297858340904348,3552,1132,1132,0.3186936936936937,0.21738701244204103,0.8833922261484098,0.8833922261484098,0.13523193252333665,0.9222614840989399,0.0010864010065549364,nan,0.0,nan,0.5199547762047761,0.573321554770318,1.1026373465690105,-301.8816254416961,27541,8314,8314,0.30187720126357065,0.21929685715277286,0.867572768823671,0.867572768823671,0.11496348925563972,0.8927110897281694,0.0040494357597223914,nan,0.0,nan,0.5259843780512964,0.6816213615588165,1.295896589332434,1019.2193889824392
800,policy,100,400,4,36,400.0,218.38888888888889,4808.75,239.11111111111111,26.8,0,211,800,18.067970744259373,3554,1132,1132,0.3185143500281373,0.2266885763376121,0.9045936395759717,0.9045936395759717,0.12517876187416915,0.9196113074204947,0.001334874298272628,nan,0.0,nan,0.5213087645487758,0.5795053003533569,1.1116354447924037,-73.31007067137809,28457,8610,8610,0.302561759848192,0.2198268987294611,0.870150987224158,0.870150987224158,0.11330562703433454,0.8933797909407666,0.0039755316708642114,nan,0.0,nan,0.5259118060177553,0.6803716608594658,1.2936991584412076,1008.1822299651568
825,policy,100,400,4,36,400.0,270.02777777777777,4970.75,317.97222222222223,30.625,0,217,800,18.067970744259373,3524,1137,1137,0.32264472190692395,0.2330447209407952,0.9199648197009674,0.9199648197009674,0.17175285582718605,0.9173262972735268,0.0014432411930147405,nan,0.0,nan,0.5180238005152875,0.5866314863676341,1.1324411847179632,705.9357959542656,29359,8908,8908,0.3034163288940359,0.21945087853154213,0.8722496632240683,0.8722496632240683,0.11356639493298851,0.8936910642119443,0.0039048397210597126,nan,0.0,nan,0.5257566310335477,0.6777054333183655,1.2890097686188235,1045.8026493039963
850,policy,100,400,4,36,400.0,251.69444444444446,5043.5,331.5,31.425,1,224,800,18.067970744259373,3489,1117,1117,0.32014903983949555,0.2323109789304199,0.9265890778871978,0.9265890778871978,0.14258658728360932,0.9203222918531782,0.001414322728191885,nan,0.0,nan,0.5217311095642996,0.6257833482542524,1.1994365234935815,974.1002685765443,30173,9171,9171,0.3039472375965267,0.22003085896625577,0.8741685748555228,0.8741685748555228,0.11357580490538734,0.8948860538654454,0.0038244486065171293,nan,0.0,nan,0.5256631218293962,0.6782248391669393,1.2902271645128969,1038.6355904481518
875,policy,100,400,4,36,400.0,205.36111111111111,5229.25,257.69444444444446,29.225,0,233,800,18.067970744259373,3564,1145,1145,0.3212682379349046,0.22673240484632892,0.9388646288209607,0.9388646288209607,0.1273325896378079,0.9152838427947598,0.0016961618953638936,nan,0.0,nan,0.5213341933038902,0.6637554585152838,1.2731861194617156,1517.077729257642,31105,9459,9459,0.30409901945024914,0.22019692080740036,0.87620255840998,0.87620255840998,0.11426013760735218,0.8954434929696585,0.003779798464992487,nan,0.0,nan,0.5254515615124841,0.6794587165662332,1.2930948660813717,1079.4845121048736
900,policy,100,400,4,36,400.0,245.05555555555554,5409.0,301.44444444444446,31.925,0,234,900,21.117562854317065,3545,1143,1143,0.32242595204513397,0.22066951272196433,0.9405074365704287,0.9405074365704287,0.1310555329298479,0.9125109361329834,0.0016458203468533786,nan,0.0,nan,0.5196840356008199,0.6771653543307087,1.3030328198321903,1646.7069116360456,32002,9753,9753,0.30476220236235235,0.21992564863138164,0.8783963908540962,0.8783963908540962,0.11386925926124804,0.8956218599405311,0.003717459467763831,nan,0.0,nan,0.5252219289435713,0.6799958986978366,1.2946829925124734,1083.0139444273557
925,policy,100,400,4,36,400.0,230.75,5566.5,302.0,33.75,0,250,900,21.117562854317065,3535,1157,1157,0.3272984441301273,0.22907473462184022,0.9412273120138289,0.9412273120138289,0.11073173593592685,0.9213483146067416,0.0016613566674909261,nan,0.0,nan,0.5238244946943674,0.6974935177182369,1.3315404773600727,1029.2687986171131,32894,10065,10065,0.30598285401592995,0.22055716780093854,0.8801788375558868,0.8801788375558868,0.11301139957419859,0.8968703427719821,0.0036637406575719743,nan,0.0,nan,0.5255489912828637,0.679980129160457,1.2938472729262163,1043.902036761053
950,policy,100,400,4,36,400.0,213.13888888888889,5623.5,266.55555555555554,32.0,0,251,900,21.117562854317065,3498,1154,1154,0.3299028016009148,0.2282393447267041,0.938474870017331,0.938474870017331,0.08639514121727386,0.9228769497400346,0.0016121551610353757,nan,0.0,nan,0.5242102475378633,0.6750433275563258,1.287733940202243,866.0424610051994,33671,10325,10325,0.30664369932582936,0.2209483013456802,0.8813559322033898,0.8813559322033898,0.111316896578741,0.8980145278450363,0.003594618709208015,nan,0.0,nan,0.5255121861793776,0.6778692493946731,1.2899210850332026,1019.3452784503633
975,policy,100,400,4,36,400.0,166.77777777777777,5749.0,199.63888888888889,30.375,0,262,900,21.117562854317065,3389,1132,1132,0.3340218353496607,0.22403420948059136,0.9249116607773852,0.9249116607773852,0.07542086443523222,0.926678445229682,0.0013648588308817447,nan,0.0,nan,0.5210657027638438,0.6563604240282686,1.2596500221503597,365.93727915194347,34494,10591,10591,0.30703890531686673,0.22060706251054948,0.8814087432725899,0.8814087432725899,0.11105097990427416,0.898781984703994,0.003542533131311229,nan,0.0,nan,0.5250206554042003,0.6769898970824285,1.2894538340805486,1003.2182985553773
1000,policy,100,400,4,36,400.0,213.58333333333334,5876.25,258.0,33.5,0,265,1000,27.714680755539828,3318,1107,1107,0.3336347197106691,0.2225784087929185,0.9159891598915989,0.9159891598915989,0.0795557857857827,0.9367660343270099,0.0015189736344969572,nan,0.0,nan,0.5221887348469627,0.6178861788617886,1.1832621763525248,372.0894308943089,35320,10860,10860,0.3074745186862967,0.22019605429425654,0.8822283609576427,0.8822283609576427,0.1104949319295908,0.8998158379373848,0.0035109312685911386,nan,0.0,nan,0.524936987323737,0.6736648250460405,1.2833251253270532,1010.5467771639043
