method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
central,Central,factor_b1_v3,3,10,,7.179125434042746,4.80702601695086,38.10142344862284,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v3,4,10,,7.1513599360845035,4.801296287323604,37.8756933351644,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v3,5,10,,7.2943138947093855,4.896492680938243,38.63753113619608,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v1,1,10,,12.236897331219621,12.992190135236942,11.480671861774608,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_central_eval50_tail10x25
central,Central,factor_b2_v1,2,10,,12.434259935334158,12.52271719101962,12.347994757312932,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v1,3,10,,11.635192157616876,10.00170335629976,12.972532339256071,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v1,4,10,,11.734368578224258,9.772598208047771,13.308217536671298,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v1,5,10,,12.154939468452927,11.904835099868816,12.383590887466344,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v2,1,10,,13.32299382962874,7.564142200971533,17.151135275521867,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_central_eval50_tail10x25
central,Central,factor_b2_v2,2,10,,12.390429704655574,6.879029695803746,16.019759052766624,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v2/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v2,3,10,,13.120500144423886,6.999852936260086,17.073712508015717,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v2/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v2,4,10,,12.296299764418292,7.829877732334036,15.439836767999344,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v2/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b2_v2,5,10,,12.165596259441976,7.447555996391425,15.413847623139578,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v2/rep5/central_paper_final_full1800_eval50_tail10x25
