step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
17,t2_b0,1,5,30,0,
17,t2_b0,2,5,35,0,
17,t2_b0,3,5,35,0,
17,t2_b0,4,5,35,0,
17,t2_b0,6,5,35,0,
17,t2_b0,7,5,33,0,
17,t2_b0,8,5,34,0,
17,t2_b0,10,5,35,0,
17,t2_b0,11,5,35,0,
17,t2_b0,12,5,35,0,
17,t2_b0,14,5,35,0,
17,t2_b0,15,5,35,0,
17,t2_b0,18,5,35,0,
17,t2_b0,19,5,35,0,
17,t2_b0,21,5,35,0,
17,t2_b0,23,5,35,0,
17,t2_b0,24,5,35,0,
17,t2_b0,25,5,35,0,
17,t2_b0,27,5,35,0,
17,t2_b0,28,5,35,0,
17,t2_b0,29,5,30,0,
17,t2_b0,30,5,35,0,
17,t2_b0,31,5,35,0,
17,t2_b0,32,45,75,4,1.6075950860977173
17,t2_b0,33,5,35,0,
17,t2_b0,35,5,35,0,
17,t2_b0,36,5,35,0,
17,t2_b0,37,5,35,0,
17,t2_b0,38,5,35,0,
17,t2_b0,39,5,35,0,
17,t2_b0,40,5,35,0,
17,t2_b0,41,5,35,0,
17,t2_b0,42,5,35,0,
17,t2_b0,43,5,35,0,
17,t2_b0,45,5,35,0,
17,t2_b0,46,5,35,0,
17,t2_b0,47,5,35,0,
17,t2_b0,48,5,35,0,
17,t2_b0,50,5,35,0,
17,t2_b0,51,5,35,0,
17,t2_b0,53,5,35,0,
17,t2_b0,54,5,30,0,
17,t2_b0,55,5,35,0,
17,t2_b0,57,5,30,0,
17,t2_b0,58,5,30,0,
18,t2_b0,0,5,40,0,
18,t2_b0,1,5,35,0,
18,t2_b0,2,5,40,0,
18,t2_b0,3,5,40,0,
18,t2_b0,4,5,40,0,
18,t2_b0,6,5,40,0,
18,t2_b0,7,5,38,0,
18,t2_b0,8,5,39,0,
18,t2_b0,10,5,40,0,
18,t2_b0,11,5,40,0,
18,t2_b0,12,5,40,0,
18,t2_b0,14,5,40,0,
18,t2_b0,15,5,40,0,
18,t2_b0,18,5,40,0,
18,t2_b0,19,5,40,0,
18,t2_b0,21,5,40,0,
18,t2_b0,23,5,40,0,
18,t2_b0,24,5,40,0,
18,t2_b0,25,5,40,0,
18,t2_b0,27,5,40,0,
18,t2_b0,28,5,40,0,
18,t2_b0,29,5,35,0,
18,t2_b0,30,5,40,0,
18,t2_b0,31,5,40,0,
18,t2_b0,33,5,40,0,
18,t2_b0,35,5,40,0,
18,t2_b0,36,5,40,0,
18,t2_b0,37,45,80,4,1.3169599771499634
18,t2_b0,38,5,40,0,
18,t2_b0,39,5,40,0,
18,t2_b0,40,5,40,0,
18,t2_b0,41,5,40,0,
18,t2_b0,42,5,40,0,
18,t2_b0,43,5,40,0,
18,t2_b0,45,5,40,0,
18,t2_b0,46,5,40,0,
18,t2_b0,47,5,40,0,
18,t2_b0,48,5,40,0,
18,t2_b0,50,5,40,0,
18,t2_b0,51,5,40,0,
18,t2_b0,53,5,40,0,
18,t2_b0,54,5,35,0,
18,t2_b0,55,5,40,0,
18,t2_b0,56,5,35,0,
18,t2_b0,57,5,35,0,
18,t2_b0,58,5,35,0,
18,t2_b0,59,5,35,0,
19,t2_b0,0,5,45,0,
19,t2_b0,1,5,40,0,
19,t2_b0,2,45,85,4,1.216577172279358
19,t2_b0,3,5,45,0,
19,t2_b0,4,5,45,0,
19,t2_b0,6,5,45,0,
19,t2_b0,7,5,43,0,
19,t2_b0,8,5,44,0,
19,t2_b0,10,5,45,0,
19,t2_b0,11,5,45,0,
19,t2_b0,12,5,45,0,
19,t2_b0,13,5,40,0,
19,t2_b0,14,5,45,0,
19,t2_b0,15,5,45,0,
19,t2_b0,17,5,40,0,
19,t2_b0,18,5,45,0,
19,t2_b0,19,5,45,0,
19,t2_b0,21,5,45,0,
19,t2_b0,23,5,45,0,
19,t2_b0,24,5,45,0,
19,t2_b0,25,5,45,0,
19,t2_b0,27,5,45,0,
19,t2_b0,28,5,45,0,
19,t2_b0,29,5,40,0,
19,t2_b0,30,5,45,0,
19,t2_b0,31,5,45,0,
19,t2_b0,33,5,45,0,
19,t2_b0,35,5,45,0,
19,t2_b0,36,5,45,0,
19,t2_b0,38,5,45,0,
19,t2_b0,39,5,45,0,
19,t2_b0,40,5,45,0,
19,t2_b0,41,5,45,0,
19,t2_b0,42,5,45,0,
19,t2_b0,43,5,45,0,
19,t2_b0,45,5,45,0,
19,t2_b0,46,5,45,0,
19,t2_b0,47,5,45,0,
19,t2_b0,48,5,45,0,
19,t2_b0,50,5,45,0,
19,t2_b0,51,5,45,0,
19,t2_b0,53,5,45,0,
19,t2_b0,54,5,40,0,
19,t2_b0,55,5,45,0,
19,t2_b0,56,5,40,0,
19,t2_b0,57,5,40,0,
19,t2_b0,58,5,40,0,
19,t2_b0,59,5,40,0,
20,t2_b0,0,5,50,0,
20,t2_b0,1,5,45,0,
20,t2_b0,3,5,50,0,
20,t2_b0,4,5,50,0,
20,t2_b0,6,5,50,0,
20,t2_b0,7,5,48,0,
20,t2_b0,8,5,49,0,
20,t2_b0,10,5,50,0,
20,t2_b0,11,5,50,0,
20,t2_b0,12,5,50,0,
20,t2_b0,13,5,45,0,
20,t2_b0,14,5,50,0,
20,t2_b0,15,5,50,0,
