step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
745,-47.5,57.5,106,53,0,0.0,0.0,0,0.0,57.5,21,493129.8463339336,25.14001642341178,7.085985428870842,53,106,21,11,106,0,32,-105.0,70.5,-47.5,192878,525,0,32,53,14,53,5.0,3278044,2532.37848,nan,3.278044,nan,11,7632,3180760,22,0,0,11,1452,704,176,748,187,363,11,88200,525,11
746,-47.5,57.5,110,55,0,0.0,0.0,0,0.0,57.5,20,507968.11636644433,27.08567076922724,6.037681837441755,55,110,20,12,110,0,32,-105.0,70.5,-47.5,192878,384,0,32,55,13,55,5.0,3543936,2535.922416,nan,3.543936,nan,12,7920,3469920,24,0,0,12,1584,768,192,816,204,396,12,64512,384,12
747,-47.5,57.5,116,58,0,0.0,0.0,0,0.0,57.5,23,547871.0074331367,35.37197983476805,12.943685848769885,58,116,23,10,116,0,33,-105.0,70.5,-47.5,192878,605,0,32,58,14,58,5.0,3002912,2538.925328,nan,3.002912,nan,10,8352,2891600,20,0,0,10,1320,640,160,680,170,330,10,101640,605,10
748,-47.5,57.5,116,58,0,0.0,0.0,0,0.0,57.5,21,516915.3527489001,29.971201925240532,6.824676849333661,58,116,22,11,116,1,33,-105.0,70.5,-47.5,192878,441,0,32,58,14,58,5.0,3264580,2542.189908,nan,3.26458,nan,11,8280,3180760,22,0,0,11,1452,704,176,748,187,363,11,74088,441,11
749,-47.5,57.5,118,59,0,0.0,0.0,0,0.0,57.5,21,528267.1084693455,24.224438881956548,9.88996846146456,59,118,21,12,118,0,33,-105.0,70.5,-47.5,192878,510,0,32,59,14,57,5.0,3565464,2545.755372,nan,3.565464,nan,12,8280,3469920,24,0,0,12,1584,768,192,816,204,396,12,85680,510,12
750,-47.5,57.5,120,60,0,0.0,0.0,0,0.0,57.5,18,471373.0616551858,18.58727087101151,5.006296675837233,60,120,19,13,120,1,32,-105.0,70.5,-47.5,192878,475,0,32,60,14,59,5.0,3849236,2549.604608,nan,3.849236,nan,13,8640,3759080,26,0,0,13,1716,832,208,884,221,429,13,79800,475,13
751,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,19,461055.4945267073,18.903476122496695,6.944145196142486,69,138,21,12,138,2,33,-105.0,70.5,-47.5,192878,447,0,32,69,13,68,5.0,3556536,2553.161144,nan,3.556536,nan,12,9936,3469920,24,0,0,12,1584,768,192,816,204,396,12,75096,447,12
752,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,22,508289.0179488592,24.66290496680388,7.482960929041148,69,138,22,11,138,0,33,-105.0,70.5,-47.5,192878,416,0,32,69,13,68,5.0,3262036,2556.42318,nan,3.262036,nan,11,9936,3180760,22,0,0,11,1452,704,176,748,187,363,11,69888,416,11
753,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,21,470764.22084761714,20.071309998337426,6.400420160731242,69,138,21,12,138,0,33,-105.0,70.5,-47.5,192878,479,0,32,69,14,67,5.0,3561912,2559.985092,nan,3.561912,nan,12,9936,3469920,24,0,0,12,1584,768,192,816,204,396,12,80472,479,12
754,-47.5,57.5,144,72,0,0.0,0.0,0,0.0,57.5,25,486566.5168984037,22.186821553247967,7.1604360961851405,72,144,25,12,144,0,37,-105.0,70.5,-47.5,192878,634,0,32,72,16,71,5.0,3588384,2563.573476,nan,3.588384,nan,12,10368,3469920,24,0,0,12,1584,768,192,816,204,396,12,106512,634,12
