step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
40,-47.5,57.5,164,82,0,0.0,0.0,0,0.0,57.5,3,562500.0,43.78862754169962,18.5988132791357,82,164,3,7,164,0,10,-105.0,70.5,-47.5,5.0,18973636,650.917944,nan,18.973636,nan,7,3456,2024120,14,16945136,164,7,924,448,112,476,119,231,7,0,0,7
41,-47.5,57.5,170,85,0,0.0,0.0,0,0.0,57.5,3,522998.549324316,31.606164676986616,9.931251375711131,85,170,3,9,170,0,12,-105.0,70.5,-47.5,5.0,20172668,671.090612,nan,20.172668,nan,9,3960,2602440,18,17565080,170,9,1188,576,144,612,153,297,9,0,0,9
42,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,4,562500.0,50.44777840098461,30.560975050372416,86,172,4,5,172,0,9,-105.0,70.5,-47.5,5.0,19221140,690.311752,nan,19.22114,nan,5,2952,1445800,10,17771728,172,5,660,320,80,340,85,165,5,0,0,5
43,-47.5,57.5,158,79,0,0.0,0.0,0,0.0,57.5,2,562500.0,39.47447189438994,24.1776751326009,79,158,3,9,158,1,12,-105.0,70.5,-47.5,5.0,18932564,709.244316,nan,18.932564,nan,9,3744,2602440,18,16325192,158,9,1188,576,144,612,153,297,9,0,0,9
44,-47.5,57.5,164,82,0,0.0,0.0,0,0.0,57.5,2,534714.8438711782,31.82308796053011,12.036735319544036,82,164,2,8,164,0,10,-105.0,70.5,-47.5,5.0,19262424,728.50674,nan,19.262424,nan,8,2952,2313280,16,16945136,164,8,1056,512,128,544,136,264,8,0,0,8
45,-47.5,57.5,160,80,0,0.0,0.0,0,0.0,57.5,3,548612.5476069017,34.32137600197683,12.060992082808193,80,160,3,8,160,0,11,-105.0,70.5,-47.5,5.0,18849488,747.356228,nan,18.849488,nan,8,3312,2313280,16,16531840,160,8,1056,512,128,544,136,264,8,0,0,8
46,-47.5,57.5,168,84,0,0.0,0.0,0,0.0,57.5,3,562500.0,27.210349618869603,18.352762499548394,84,168,3,8,168,0,11,-105.0,70.5,-47.5,5.0,19676224,767.032452,nan,19.676224,nan,8,3456,2313280,16,17358432,168,8,1056,512,128,544,136,264,8,0,0,8
47,-47.5,57.5,166,83,0,0.0,0.0,0,0.0,57.5,5,562500.0,38.18281006396809,22.84673373041246,83,166,5,5,166,0,10,-105.0,70.5,-47.5,5.0,18601916,785.634368,nan,18.601916,nan,5,3672,1445800,10,17151784,166,5,660,320,80,340,85,165,5,0,0,5
48,-47.5,57.5,170,85,0,0.0,0.0,0,0.0,57.5,5,562500.0,39.18671969304465,18.00120987566026,85,170,5,7,170,0,12,-105.0,70.5,-47.5,5.0,19593868,805.228236,nan,19.593868,nan,7,3744,2024120,14,17565080,170,7,924,448,112,476,119,231,7,0,0,7
49,-47.5,57.5,174,87,0,0.0,0.0,0,0.0,57.5,5,463347.05132077716,25.8420802718066,7.124026802104078,87,174,5,9,174,0,14,-105.0,70.5,-47.5,5.0,20586036,825.814272,nan,20.586036,nan,9,4032,2602440,18,17978376,174,9,1188,576,144,612,153,297,9,0,0,9
