step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
121,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20581930,2521.402508,nan,20.58193,nan,120,960,505890,17268960,2806120,120
122,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20554708,2541.957216,nan,20.554708,nan,120,960,501732,17268960,2783056,120
123,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20509338,2562.466554,nan,20.509338,nan,120,960,494802,17268960,2744616,120
124,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20454894,2582.921448,nan,20.454894,nan,120,960,486486,17268960,2698488,120
125,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20963038,2603.884486,nan,20.963038,nan,120,960,564102,17268960,3129016,120
126,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21026556,2624.911042,nan,21.026556,nan,120,960,573804,17268960,3182832,120
127,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21044704,2645.955746,nan,21.044704,nan,120,960,576576,17268960,3198208,120
128,-100.0,5.0,852,426,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21135444,2667.09119,nan,21.135444,nan,120,960,590436,17268960,3275088,120
129,-100.0,5.0,910,455,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21398590,2688.48978,nan,21.39859,nan,120,960,630630,17268960,3498040,120
130,-100.0,5.0,902,451,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21362294,2709.852074,nan,21.362294,nan,120,960,625086,17268960,3467288,120
131,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21289702,2731.141776,nan,21.289702,nan,120,960,613998,17268960,3405784,120
132,-100.0,5.0,890,445,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21307850,2752.449626,nan,21.30785,nan,120,960,616770,17268960,3421160,120
133,-100.0,5.0,892,446,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21316924,2773.76655,nan,21.316924,nan,120,960,618156,17268960,3428848,120
134,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21090074,2794.856624,nan,21.090074,nan,120,960,583506,17268960,3236648,120
135,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21044704,2815.901328,nan,21.044704,nan,120,960,576576,17268960,3198208,120
136,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20926742,2836.82807,nan,20.926742,nan,120,960,558558,17268960,3098264,120
137,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,2857.77296,nan,20.94489,nan,120,960,561330,17268960,3113640,120
138,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21035630,2878.80859,nan,21.03563,nan,120,960,575190,17268960,3190520,120
139,-100.0,5.0,826,413,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21017482,2899.826072,nan,21.017482,nan,120,960,572418,17268960,3175144,120
140,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21044704,2920.870776,nan,21.044704,nan,120,960,576576,17268960,3198208,120
141,-100.0,5.0,834,417,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21053778,2941.924554,nan,21.053778,nan,120,960,577962,17268960,3205896,120
142,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20926742,2962.851296,nan,20.926742,nan,120,960,558558,17268960,3098264,120
143,-100.0,5.0,808,404,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20935816,2983.787112,nan,20.935816,nan,120,960,559944,17268960,3105952,120
144,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20917668,3004.70478,nan,20.917668,nan,120,960,557172,17268960,3090576,120
145,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20754336,3025.459116,nan,20.754336,nan,120,960,532224,17268960,2952192,120
146,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20854150,3046.313266,nan,20.85415,nan,120,960,547470,17268960,3036760,120
147,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,3067.185564,nan,20.872298,nan,120,960,550242,17268960,3052136,120
148,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20890446,3088.07601,nan,20.890446,nan,120,960,553014,17268960,3067512,120
149,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20854150,3108.93016,nan,20.85415,nan,120,960,547470,17268960,3036760,120
150,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,3129.802458,nan,20.872298,nan,120,960,550242,17268960,3052136,120
