step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
36,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,9,562500.0,37.64338021573307,18.958100021581608,17,34,9,9,34,0,18,-105.0,70.5,-47.5,5.0,2603628,67.98362,nan,2.603628,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,0,0,9
37,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,11,562500.0,26.40709430291823,18.88362881018024,17,34,11,7,34,0,18,-105.0,70.5,-47.5,5.0,2025044,70.008664,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
38,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,9,562500.0,24.061821316794877,18.140886335085366,17,34,9,9,34,0,18,-105.0,70.5,-47.5,5.0,2603628,72.612292,nan,2.603628,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,0,0,9
39,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,10,562500.0,30.299362529375863,18.186940626502373,17,34,10,8,34,0,18,-105.0,70.5,-47.5,5.0,2314336,74.926628,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
40,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,11,562500.0,26.425971751729744,18.88362881018024,17,34,11,7,34,0,18,-105.0,70.5,-47.5,5.0,2025044,76.951672,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
41,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,11,562500.0,26.491434448246473,18.59513862502348,18,36,11,8,36,0,19,-105.0,70.5,-47.5,5.0,2314336,79.266008,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
42,-47.5,57.5,42,21,0,0.0,0.0,0,0.0,57.5,11,562500.0,34.39726552591948,18.295326305349352,21,42,11,8,42,0,19,-105.0,70.5,-47.5,5.0,2314336,81.580344,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
43,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,10,535856.2835086188,22.93701108048323,9.193445064872607,22,44,10,9,44,0,19,-105.0,70.5,-47.5,5.0,2603628,84.183972,nan,2.603628,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,0,0,9
44,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,11,562500.0,30.154024538231518,18.186940626502373,22,44,11,8,44,0,19,-105.0,70.5,-47.5,5.0,2314336,86.498308,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
45,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,11,562500.0,33.93017072755019,19.10832250804709,22,44,11,8,44,0,19,-105.0,70.5,-47.5,5.0,2314336,88.812644,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
46,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,12,562500.0,41.89515416368236,18.075329053224127,30,60,12,7,60,0,19,-105.0,70.5,-47.5,5.0,2025044,90.837688,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
47,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,13,562500.0,53.86822592961375,44.54584175940684,30,60,13,6,60,0,19,-105.0,70.5,-47.5,5.0,1735752,92.57344,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
48,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,12,562500.0,51.001104239016705,43.358366742772304,30,60,12,7,60,0,19,-105.0,70.5,-47.5,5.0,2025044,94.598484,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
49,-47.5,57.5,70,35,0,0.0,0.0,0,0.0,57.5,11,533431.1380878892,33.4032948289527,9.031678227385063,35,70,11,8,70,0,19,-105.0,70.5,-47.5,5.0,2314336,96.91282,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
50,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,11,562500.0,33.16446373268741,19.56689485601175,36,72,11,8,72,0,19,-105.0,70.5,-47.5,5.0,2314336,99.227156,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
51,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,13,562500.0,36.55820653649652,20.619258671399663,36,72,13,6,72,0,19,-105.0,70.5,-47.5,5.0,1735752,100.962908,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
52,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,12,562500.0,47.1822284469742,27.10321347510368,36,72,12,7,72,0,19,-105.0,70.5,-47.5,5.0,2025044,102.987952,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
53,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,11,536548.8309689125,38.21727284830675,10.100262773347541,38,76,11,8,76,0,19,-105.0,70.5,-47.5,5.0,2314336,105.302288,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
54,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,12,527200.1936898521,36.430619268002516,8.217430121304037,38,76,12,8,76,0,20,-105.0,70.5,-47.5,5.0,2314336,107.616624,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
