step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
589,334,778,31,39936,24
590,327,768,35,39976,40
591,335,758,12,39992,16
592,322,740,53,40028,36
593,338,718,34,40072,44
594,314,720,61,40128,56
595,292,726,59,40200,72
596,317,712,19,40240,40
597,351,730,42,40280,40
598,381,744,34,40340,60
599,367,762,40,40376,36
600,396,776,24,40420,44
601,386,790,30,40440,20
602,409,790,20,40456,16
603,400,778,70,40520,64
604,408,782,39,40552,32
605,406,760,30,40584,32
606,418,778,38,40620,36
607,399,788,67,40688,68
608,370,814,49,40740,52
609,381,796,39,40768,28
610,388,788,37,40804,36
611,401,780,33,40832,28
612,450,780,25,40872,40
613,388,768,87,40956,84
614,410,766,48,41016,60
615,432,770,18,41036,20
616,437,764,41,41068,32
617,425,764,55,41136,68
618,452,760,30,41156,20
619,430,772,66,41196,40
620,438,790,42,41240,44
621,449,788,23,41268,28
622,414,778,61,41360,92
623,437,774,33,41392,32
624,408,778,58,41464,72
625,409,798,44,41508,44
626,427,790,45,41560,52
627,395,792,58,41608,48
628,399,778,52,41668,60
629,381,788,48,41712,44
630,365,778,66,41756,44
631,367,776,39,41808,52
632,407,762,27,41836,28
633,385,782,53,41884,48
634,395,816,34,41924,40
635,384,842,32,41952,28
636,377,834,50,41992,40
637,382,832,31,42036,44
638,398,850,36,42092,56
639,383,828,52,42124,32
640,361,826,58,42168,44
641,366,814,41,42216,48
642,368,814,51,42260,44
643,390,822,34,42296,36
644,393,840,26,42320,24
645,390,858,49,42360,40
646,397,862,38,42400,40
647,403,854,26,42420,20
648,351,818,83,42468,48
649,335,804,42,42512,44
650,327,816,39,42540,28
651,336,828,34,42592,52
652,335,818,45,42660,68
653,349,796,41,42708,48
654,355,796,30,42732,24
655,358,784,33,42764,32
656,363,762,36,42808,44
657,385,752,28,42852,44
658,385,750,46,42892,40
659,426,732,22,42912,20
660,433,738,27,42940,28
661,424,744,47,42992,52
662,429,758,40,43024,32
663,414,760,65,43100,76
664,416,782,46,43140,40
665,406,770,39,43192,52
666,363,786,88,43240,48
667,366,770,30,43264,24
668,371,762,50,43312,48
669,352,774,34,43368,56
670,347,796,45,43400,32
671,331,780,26,43440,40
672,314,790,43,43484,44
673,335,798,35,43512,28
674,326,764,41,43560,48
675,333,738,25,43580,20
676,314,734,51,43620,40
677,329,744,30,43660,40
678,312,768,52,43708,48
679,329,776,20,43724,16
680,291,758,71,43768,44
681,318,802,9,43780,12
682,335,780,32,43812,32
683,331,748,42,43848,36
684,337,750,52,43888,40
685,335,748,22,43912,24
686,351,734,41,43944,32
687,360,736,41,43976,32
688,379,708,23,44004,28
689,383,692,36,44032,28
690,358,698,48,44068,36
691,343,702,35,44092,24
692,342,696,41,44144,52
693,330,696,32,44172,28
694,315,702,55,44220,48
695,327,734,27,44244,24
696,332,728,46,44280,36
697,317,736,35,44308,28
698,311,726,46,44348,40
699,329,734,37,44376,28
700,339,748,45,44404,28
701,366,752,10,44412,8
702,361,766,30,44436,24
703,386,782,35,44456,20
704,399,786,35,44484,28
705,421,822,38,44520,36
706,396,794,66,44572,52
707,421,798,35,44592,20
708,405,772,75,44636,44
709,395,770,35,44664,28
710,370,756,45,44700,36
711,381,752,33,44728,28
712,389,768,42,44756,28
713,389,772,50,44792,36
714,401,778,23,44812,20
715,383,800,55,44856,44
716,401,802,42,44908,52
717,366,804,50,44948,40
718,371,794,40,44996,48
719,406,792,20,45028,32
720,440,766,16,45044,16
721,416,778,59,45088,44
722,361,780,75,45128,40
723,331,772,45,45164,36
724,321,780,40,45192,28
725,340,790,21,45212,20
726,325,792,80,45268,56
727,360,796,10,45276,8
728,375,794,35,45304,28
729,381,802,35,45332,28
730,365,818,65,45384,52
731,375,832,45,45416,32
732,372,808,25,45436,20
733,407,800,10,45444,8
734,397,796,45,45476,32
735,386,826,50,45512,36
736,382,830,40,45544,32
737,358,814,55,45584,40
738,350,874,59,45616,32
739,363,872,45,45648,32
740,332,824,60,45692,44
741,298,834,59,45732,40
742,322,876,16,45748,16
743,332,934,25,45768,20
744,354,914,35,45796,28
745,370,912,40,45824,28
746,373,856,31,45840,16
747,373,832,41,45872,32
748,372,836,46,45912,40
749,401,824,41,45948,36
750,412,792,24,45968,20
751,422,786,25,45988,20
752,401,782,46,46020,32
753,403,790,30,46044,24
754,366,784,52,46092,48
755,347,798,54,46160,68
756,332,794,35,46188,28
757,337,768,40,46220,32
758,317,756,40,46248,28
759,287,758,60,46296,48
760,296,760,40,46328,32
761,279,736,40,46360,32
762,288,764,26,46384,24
763,286,768,42,46424,40
764,301,824,40,46448,24
765,307,794,25,46468,20
766,320,812,27,46484,16
767,349,774,26,46508,24
768,353,800,26,46532,24
769,356,786,17,46552,20
770,351,758,50,46592,40
771,382,740,20,46608,16
772,367,738,35,46636,28
773,363,750,40,46668,32
774,343,730,65,46720,52
775,349,718,46,46752,32
776,354,726,35,46776,24
777,328,712,51,46812,36
778,358,696,20,46828,16
779,379,694,31,46852,24
780,354,692,45,46888,36
781,319,680,60,46928,40
782,331,676,30,46952,24
783,331,670,41,46984,32
784,333,668,40,47016,32
785,322,686,46,47052,36
786,327,704,35,47076,24
787,352,700,20,47092,16
788,355,736,45,47128,36
789,333,736,52,47172,44
790,343,744,10,47180,8
791,336,740,27,47204,24
792,340,744,42,47240,36
793,314,722,51,47280,40
794,337,724,32,47312,32
795,347,726,45,47352,40
796,338,722,35,47380,28
797,333,714,35,47404,24
798,338,726,41,47440,36
799,335,760,45,47472,32
800,367,766,10,47480,8
801,375,752,25,47500,20
802,368,760,61,47552,52
803,368,744,25,47572,20
804,354,770,55,47612,40
805,354,774,50,47648,36
806,338,780,21,47668,20
807,328,760,25,47688,20
808,322,806,36,47720,32
809,324,782,38,47760,40
810,315,740,55,47804,44
811,318,740,33,47836,32
812,303,734,60,47900,64
813,324,752,25,47920,20
814,323,714,36,47952,32
815,309,686,40,47984,32
816,329,684,10,47992,8
817,369,692,15,48004,12
818,380,678,20,48020,16
819,365,698,60,48064,44
820,345,694,66,48116,52
821,357,700,21,48136,20
822,372,708,40,48168,32
823,390,708,51,48208,40
824,391,726,55,48244,36
825,403,768,26,48268,24
826,392,768,46,48300,32
827,422,748,30,48324,24
828,456,724,16,48340,16
829,441,724,40,48372,32
830,425,718,46,48412,40
831,397,734,43,48452,40
832,367,732,50,48484,32
833,329,758,53,48536,52
834,283,764,71,48592,56
835,300,770,33,48620,28
836,295,766,50,48660,40
837,260,746,70,48708,48
838,265,768,45,48744,36
839,285,748,15,48756,12
840,291,768,30,48776,20
