step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
505,3140,814,339,83932,188
506,3039,826,418,84108,176
507,3016,814,322,84268,160
508,2978,838,329,84420,152
509,3054,840,185,84564,144
510,3121,826,194,84704,140
511,3037,832,303,84856,152
512,3098,878,210,84972,116
513,3104,852,207,85072,100
514,3061,828,235,85176,104
515,3124,818,135,85288,112
516,3112,874,227,85416,128
517,3228,878,100,85524,108
518,3090,838,311,85656,132
519,3190,826,125,85784,128
520,3266,826,154,85916,132
521,3289,888,227,86068,152
522,3204,864,312,86232,164
523,3191,866,260,86400,168
524,3184,848,291,86568,168
525,3044,824,348,86728,160
526,3081,812,221,86896,168
527,3142,810,223,87076,180
528,3109,812,321,87260,184
529,3044,812,341,87436,176
530,3086,818,252,87604,168
531,3124,818,251,87784,180
532,3111,824,317,87976,192
533,3047,802,383,88172,196
534,2925,808,433,88360,188
535,2888,788,345,88548,188
536,2812,794,373,88728,180
537,2822,786,316,88888,160
538,2773,768,358,89056,168
539,2667,752,395,89224,168
540,2743,752,226,89380,156
541,2658,770,395,89536,156
542,2579,768,387,89684,148
543,2518,758,341,89828,144
544,2457,754,347,89972,144
545,2516,758,234,90104,132
546,2553,768,263,90256,152
547,2488,798,336,90408,152
548,2557,800,236,90552,144
549,2684,806,197,90708,156
550,2806,806,199,90864,156
551,2776,800,341,91044,180
552,2749,802,321,91228,184
553,2626,796,419,91412,184
554,2686,794,245,91588,176
555,2751,800,221,91760,172
556,2684,802,369,91944,184
557,2702,794,264,92128,184
558,2730,794,250,92308,180
559,2705,788,322,92488,180
560,2712,776,276,92660,172
561,2672,776,303,92844,184
562,2675,764,269,93028,184
563,2591,742,369,93224,196
564,2441,734,416,93412,188
565,2429,736,304,93580,168
566,2368,758,337,93748,168
567,2365,780,291,93908,160
568,2488,788,215,94064,156
569,2562,792,241,94220,156
570,2608,778,273,94376,156
571,2606,788,313,94532,156
572,2746,770,175,94680,148
573,2710,794,317,94840,160
574,2757,790,252,95008,168
575,2804,776,255,95184,176
576,2820,798,275,95368,184
577,2835,762,288,95556,188
578,2775,764,349,95744,188
579,2739,778,353,95924,180
580,2811,782,251,96100,176
581,2856,796,272,96288,188
582,2785,784,341,96476,188
583,2786,838,335,96664,188
584,2811,850,303,96844,180
585,2722,786,391,97024,180
586,2766,780,260,97192,168
587,2815,786,265,97364,172
588,2689,768,432,97544,180
589,2649,792,361,97720,176
590,2687,790,273,97884,164
591,2644,778,369,98044,160
592,2705,826,262,98200,156
593,2830,836,214,98352,152
594,2846,810,322,98512,160
595,2887,796,265,98676,164
596,2778,790,405,98844,168
597,2847,782,240,99000,156
598,2866,766,291,99164,164
599,2810,768,365,99340,176
600,2811,762,307,99508,168
601,2832,772,299,99676,168
602,2753,798,410,99848,172
603,2659,768,391,100008,160
604,2744,806,256,100164,156
605,2735,788,316,100328,164
606,2795,786,228,100492,164
607,2826,802,301,100656,164
608,2722,774,411,100820,164
609,2707,782,315,100984,164
610,2756,786,237,101148,164
611,2613,798,454,101312,164
612,2720,794,219,101468,156
613,2744,792,275,101632,164
614,2773,786,252,101804,172
615,2778,776,276,101984,180
616,2796,766,290,102164,180
617,2872,762,254,102344,180
618,2809,768,371,102536,192
619,2833,762,273,102724,188
620,2902,748,231,102912,188
621,2806,736,408,103120,208
622,2732,722,345,103316,196
623,2763,724,258,103508,192
624,2728,726,299,103692,184
625,2680,748,330,103876,184
626,2695,746,299,104056,180
627,2699,746,267,104232,176
628,2654,758,351,104416,184
629,2635,746,322,104592,176
630,2589,744,339,104764,172
631,2573,748,337,104932,168
632,2614,732,256,105100,168
633,2694,736,244,105268,168
634,2762,762,252,105440,172
635,2743,780,341,105612,172
636,2786,810,293,105780,168
637,2906,816,223,105944,164
638,2913,832,345,106116,172
639,3005,864,287,106284,168
640,2974,810,359,106456,172
641,3045,794,265,106632,176
642,3097,804,286,106808,176
643,3024,794,382,106980,172
644,3028,784,336,107144,164
645,2962,784,331,107316,172
646,2999,814,297,107488,172
647,3085,822,247,107656,168
648,3157,832,284,107828,172
649,3198,838,289,107996,168
650,3200,868,330,108164,168
651,3197,900,324,108320,156
652,3213,896,296,108464,144
653,3211,908,283,108600,136
654,3287,902,210,108728,128
655,3382,944,181,108852,124
656,3429,980,186,108960,108
657,3500,1038,173,109052,92
658,3536,1012,161,109144,92
659,3645,1010,87,109228,84
660,3692,1070,170,109320,92
661,3788,1110,113,109408,88
662,3662,1032,281,109512,104
663,3635,1000,215,109624,112
664,3679,984,134,109732,108
665,3561,926,293,109852,120
666,3470,902,265,109972,120
667,3481,868,180,110084,112
668,3294,848,367,110220,136
669,3275,830,199,110348,128
670,2996,790,477,110492,144
671,2858,794,357,110652,160
672,2924,796,222,110816,164
673,2814,780,389,110988,172
674,2810,776,299,111144,156
675,2637,746,432,111312,168
676,2675,758,251,111484,172
677,2684,754,291,111652,168
678,2625,752,352,111832,180
679,2654,774,275,112004,172
680,2631,784,329,112188,184
681,2611,794,346,112372,184
682,2573,784,322,112544,172
683,2669,782,209,112712,168
684,2699,784,312,112884,172
685,2660,760,334,113056,172
686,2716,750,256,113220,164
687,2749,750,281,113384,164
688,2863,746,211,113552,168
689,2903,752,276,113728,176
690,2962,742,263,113904,176
691,2921,752,355,114092,188
692,2957,764,300,114280,188
693,2982,758,285,114460,180
694,2896,776,391,114648,188
695,2911,770,316,114836,188
696,2902,778,332,115024,188
697,2980,788,286,115212,188
698,3042,786,285,115396,184
699,2929,746,415,115576,180
700,2942,756,283,115752,176
701,2978,762,273,115928,176
702,2913,770,384,116112,184
703,2905,770,322,116288,176
704,2795,776,407,116468,180
705,2742,796,370,116636,168
706,2734,794,334,116800,164
707,2752,782,304,116956,156
708,2772,776,282,117112,156
709,2796,792,322,117276,164
710,2872,788,242,117432,156
711,2960,786,227,117588,156
712,2880,768,380,117760,172
713,2855,790,335,117928,168
714,2867,792,289,118100,172
715,2692,758,459,118276,176
716,2701,782,304,118440,164
717,2707,768,296,118596,156
718,2806,776,235,118756,160
719,2837,764,260,118924,168
720,2873,776,283,119096,172
721,2834,790,319,119264,168
722,2808,796,301,119436,172
723,2802,794,293,119616,180
724,2800,780,311,119796,180
725,2814,860,311,119992,196
726,2813,852,304,120180,188
727,2856,832,293,120372,192
728,2816,840,372,120564,192
729,2901,836,230,120748,184
730,2946,852,286,120932,184
731,3064,840,240,121124,192
732,2978,852,399,121320,196
733,3048,828,266,121504,184
734,3108,824,256,121692,188
735,2989,804,430,121892,200
736,2960,828,364,122080,188
737,2994,830,332,122256,176
738,2987,808,328,122436,180
739,2996,816,329,122612,176
740,2906,828,402,122788,176
741,3015,816,251,122944,156
742,2963,792,378,123116,172
743,2899,776,363,123284,168
744,2904,778,315,123444,160
745,2929,778,273,123612,168
746,2901,770,328,123788,176
747,2778,810,450,123964,176
748,2781,806,323,124124,160
749,2822,806,280,124284,160
750,2792,812,359,124460,176
751,2848,790,289,124628,168
752,2863,796,301,124796,168
753,2969,814,249,124968,172
754,2901,812,395,125148,180
755,2966,810,252,125312,164
756,2910,792,365,125476,164
757,2880,804,385,125648,172
758,2926,810,287,125812,164
759,2808,818,459,125980,168
760,2849,816,287,126132,152
761,2881,794,268,126296,164
762,2782,780,390,126456,160
763,2775,768,320,126612,156
764,2740,764,343,126776,164
765,2795,760,241,126928,152
766,2865,760,258,127088,160
767,2819,750,361,127260,172
768,2827,788,335,127424,164
769,2817,806,307,127608,184
770,2897,814,252,127784,176
771,2929,824,305,127964,180
772,2978,816,280,128148,184
773,2990,834,304,128336,188
774,2891,820,403,128528,192
775,2962,788,275,128708,180
776,2987,792,282,128876,168
777,2973,786,323,129056,180
778,2864,812,417,129236,180
779,2874,796,283,129404,168
780,2955,814,241,129572,168
781,2893,798,352,129744,172
782,2867,832,341,129920,176
783,2693,778,439,130088,168
784,2723,760,260,130260,172
785,2572,778,452,130432,172
786,2570,768,303,130584,152
787,2538,772,345,130740,156
788,2614,776,223,130896,156
789,2642,778,291,131052,156
