step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
20,t2_b0.1,53,10,57,0,
20,t2_b0.1,54,6,53,0,
20,t2_b0.1,55,6,73,8,0.7744629979133606
20,t2_b0.1,56,7,49,0,
20,t2_b0.1,57,2,51,0,
20,t2_b0.1,58,6,46,0,
20,t2_b0.1,59,9,55,0,
21,t2_b0.1,0,8,86,12,0.5968136191368103
21,t2_b0.1,1,6,51,0,
21,t2_b0.1,3,3,44,0,
21,t2_b0.1,4,6,66,4,1.4884902238845825
21,t2_b0.1,5,1,34,0,
21,t2_b0.1,6,7,44,0,
21,t2_b0.1,7,3,30,0,
21,t2_b0.1,8,3,31,0,
21,t2_b0.1,9,9,53,0,
21,t2_b0.1,10,9,72,4,2.0097146034240723
21,t2_b0.1,11,7,69,4,1.4100817441940308
21,t2_b0.1,12,8,67,4,1.2558495998382568
21,t2_b0.1,13,4,59,0,
21,t2_b0.1,14,4,78,12,1.345320701599121
21,t2_b0.1,15,11,89,12,0.7751551270484924
21,t2_b0.1,17,4,58,0,
21,t2_b0.1,18,4,59,0,
21,t2_b0.1,19,5,41,0,
21,t2_b0.1,21,4,77,12,1.928301215171814
21,t2_b0.1,22,6,53,0,
21,t2_b0.1,23,7,72,8,0.7884423732757568
21,t2_b0.1,24,9,85,12,0.6075106859207153
21,t2_b0.1,25,8,91,16,0.9771401882171631
21,t2_b0.1,27,11,90,12,1.8995046615600586
21,t2_b0.1,28,9,75,8,2.8880395889282227
21,t2_b0.1,29,7,72,8,28.22272300720215
21,t2_b0.1,30,7,75,8,1.904376745223999
21,t2_b0.1,31,5,54,0,
21,t2_b0.1,33,6,63,0,
21,t2_b0.1,34,3,34,0,
21,t2_b0.1,35,11,67,4,4.265152454376221
21,t2_b0.1,36,8,62,0,
21,t2_b0.1,38,5,45,0,
21,t2_b0.1,39,6,81,12,1.9930025339126587
21,t2_b0.1,40,6,70,8,1.6055307388305664
21,t2_b0.1,41,7,62,0,
21,t2_b0.1,42,6,77,8,3.2154531478881836
21,t2_b0.1,43,77,148,8,1.3012884855270386
21,t2_b0.1,45,9,74,8,0.9910860657691956
21,t2_b0.1,46,6,54,0,
21,t2_b0.1,48,7,64,4,1.4644434452056885
21,t2_b0.1,50,9,68,4,0.7280951142311096
21,t2_b0.1,51,5,43,0,
21,t2_b0.1,53,7,64,4,1.941512107849121
21,t2_b0.1,54,12,65,4,27.54649543762207
21,t2_b0.1,55,6,79,12,1.209735631942749
21,t2_b0.1,56,6,55,0,
21,t2_b0.1,57,7,58,0,
21,t2_b0.1,58,6,52,0,
21,t2_b0.1,59,5,60,0,
22,t2_b0.1,0,8,94,16,0.6452359557151794
22,t2_b0.1,1,7,58,0,
22,t2_b0.1,3,6,50,0,
22,t2_b0.1,4,6,72,8,1.4664642810821533
22,t2_b0.1,5,2,36,0,
22,t2_b0.1,6,7,51,0,
22,t2_b0.1,7,3,33,0,
22,t2_b0.1,8,2,33,0,
22,t2_b0.1,9,9,62,0,
22,t2_b0.1,10,8,80,8,2.7926242351531982
22,t2_b0.1,11,7,76,8,2.120370864868164
22,t2_b0.1,12,6,73,8,1.540637731552124
22,t2_b0.1,13,4,63,0,
22,t2_b0.1,14,5,83,16,1.1842868328094482
22,t2_b0.1,15,8,97,16,1.042877435684204
22,t2_b0.1,17,3,61,0,
22,t2_b0.1,18,6,65,4,1.1231077909469604
22,t2_b0.1,19,4,45,0,
22,t2_b0.1,21,10,87,16,1.508428692817688
22,t2_b0.1,22,8,61,0,
22,t2_b0.1,23,4,76,12,0.9362308979034424
22,t2_b0.1,24,4,89,16,0.6305056810379028
22,t2_b0.1,25,7,98,20,1.0980372428894043
22,t2_b0.1,27,2,92,16,1.8427926301956177
22,t2_b0.1,28,8,83,12,3.007864236831665
22,t2_b0.1,29,6,78,12,28.24919891357422
22,t2_b0.1,30,7,82,12,1.7956961393356323
22,t2_b0.1,31,6,60,0,
22,t2_b0.1,33,6,69,4,1.9425448179244995
22,t2_b0.1,34,1,35,0,
22,t2_b0.1,35,6,73,8,4.90840482711792
22,t2_b0.1,36,6,68,4,1.5745985507965088
22,t2_b0.1,38,3,48,0,
22,t2_b0.1,39,9,90,16,2.507974147796631
22,t2_b0.1,40,8,78,12,2.626727819442749
22,t2_b0.1,41,6,68,4,2.0562851428985596
22,t2_b0.1,42,4,81,12,3.371110439300537
22,t2_b0.1,44,5,52,0,
22,t2_b0.1,45,6,80,12,1.0880236625671387
22,t2_b0.1,46,4,58,0,
22,t2_b0.1,47,2,44,0,
22,t2_b0.1,48,7,71,8,1.3954617977142334
22,t2_b0.1,49,3,52,0,
22,t2_b0.1,50,9,77,8,0.629811704158783
22,t2_b0.1,51,7,50,0,
22,t2_b0.1,52,10,80,8,23.08940315246582
22,t2_b0.1,53,7,71,8,1.9197450876235962
22,t2_b0.1,54,12,77,8,3.5632548332214355
22,t2_b0.1,55,6,85,16,1.5620613098144531
22,t2_b0.1,56,5,60,0,
22,t2_b0.1,57,6,64,4,15.212960243225098
22,t2_b0.1,58,6,58,0,
22,t2_b0.1,59,4,64,4,30.881864547729492
23,t2_b0.1,0,9,103,20,0.6633153557777405
23,t2_b0.1,1,6,64,4,11.975469589233398
23,t2_b0.1,3,6,56,0,
23,t2_b0.1,4,8,80,12,1.615551233291626
23,t2_b0.1,6,4,55,0,
23,t2_b0.1,7,4,37,0,
23,t2_b0.1,8,7,40,0,
23,t2_b0.1,9,4,66,4,30.98655891418457
23,t2_b0.1,10,8,88,12,2.2986440658569336
23,t2_b0.1,11,8,84,12,2.3609137535095215
23,t2_b0.1,12,7,80,12,1.2181708812713623
23,t2_b0.1,13,7,70,4,28.165210723876953
23,t2_b0.1,14,10,93,20,1.1619393825531006
23,t2_b0.1,15,5,102,20,0.5836344957351685
23,t2_b0.1,17,5,66,4,23.539716720581055
23,t2_b0.1,18,8,73,8,0.8350272178649902
23,t2_b0.1,19,3,48,0,
23,t2_b0.1,21,8,95,20,1.5387269258499146
23,t2_b0.1,22,5,66,4,5.149036884307861
