step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.25_comm_bytes,t2_b0.25_comm_cumulative_mb,t2_b0.25_comm_cumulative_vs_greedy_ratio,t2_b0.25_comm_mb,t2_b0.25_comm_vs_greedy_ratio,t2_b0.25_events,t2_b0.25_merge_metadata_bytes,t2_b0.25_metadata_bytes,t2_b0.25_model_bytes,t2_b0.25_policy_model_bytes,t2_b0.25_selected_providers
49,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62099596,2872.177836,nan,62.099596,nan,403,3224,626472,57994924,3474976,403
50,-100.0,5.0,954,477,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62182530,2934.360366,nan,62.18253,nan,402,3216,661122,57851016,3667176,402
51,-100.0,5.0,964,482,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66113632,3000.473998,nan,66.113632,nan,429,3432,668052,61736532,3705616,429
52,-100.0,5.0,916,458,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59419636,3059.893634,nan,59.419636,nan,384,3072,634788,55260672,3521104,384
53,-100.0,5.0,976,488,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66168076,3126.06171,nan,66.168076,nan,429,3432,676368,61736532,3751744,429
54,-100.0,5.0,906,453,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60525594,3186.587304,nan,60.525594,nan,392,3136,627858,56411936,3482664,392
55,-100.0,5.0,894,447,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63205554,3249.792858,nan,63.205554,nan,411,3288,619542,59146188,3436536,411
56,-100.0,5.0,898,449,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63367618,3313.160476,nan,63.367618,nan,412,3296,622314,59290096,3451912,412
57,-100.0,5.0,888,444,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61307424,3374.4679,nan,61.307424,nan,398,3184,615384,57275384,3413472,398
58,-100.0,5.0,836,418,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56034440,3430.50234,nan,56.03444,nan,363,2904,579348,52238604,3213584,363
59,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52561040,3483.06338,nan,52.56104,nan,340,2720,554400,48928720,3075200,340
60,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50499578,3533.562958,nan,50.499578,nan,327,2616,525294,47057916,2913752,327
61,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51947812,3585.51077,nan,51.947812,nan,337,2696,526680,48496996,2921440,337
62,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50229894,3635.740664,nan,50.229894,nan,325,2600,528066,46770100,2929128,325
63,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50401032,3686.141696,nan,50.401032,nan,326,2608,532224,46914008,2952192,326
64,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55663674,3741.80537,nan,55.663674,nan,362,2896,544698,52094696,3021384,362
65,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54107820,3795.91319,nan,54.10782,nan,351,2808,548856,50511708,3044448,351
66,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55322666,3851.235856,nan,55.322666,nan,359,2872,558558,51662972,3098264,359
67,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58335828,3909.571684,nan,58.335828,nan,380,3040,557172,54685040,3090576,380
68,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51129686,3960.70137,nan,51.129686,nan,331,2648,533610,47633548,2959880,331
69,-100.0,5.0,754,377,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53647582,4014.348952,nan,53.647582,nan,349,2792,522522,50223892,2898376,349
70,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51740378,4066.08933,nan,51.740378,nan,336,2688,516978,48353088,2867624,336
71,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49878544,4115.967874,nan,49.878544,nan,323,2584,518364,46482284,2875312,323
72,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51425324,4167.393198,nan,51.425324,nan,334,2672,512820,48065272,2844560,334
73,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51596462,4218.98966,nan,51.596462,nan,335,2680,516978,48209180,2867624,335
74,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48078960,4267.06862,nan,48.07896,nan,311,2488,507276,44755388,2813808,311
75,-100.0,5.0,726,363,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47763906,4314.832526,nan,47.763906,nan,309,2472,503118,44467572,2790744,309
76,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49031928,4363.864454,nan,49.031928,nan,318,2544,498960,45762744,2767680,318
77,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51658712,4415.523166,nan,51.658712,nan,336,2688,504504,48353088,2798432,336
78,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52684272,4468.207438,nan,52.684272,nan,343,2744,507276,49360444,2813808,343
79,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52855410,4521.062848,nan,52.85541,nan,344,2752,511434,49504352,2836872,344
80,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,46935438,4567.998286,nan,46.935438,nan,304,2432,486486,43748032,2698488,304
81,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48285126,4616.283412,nan,48.285126,nan,313,2504,494802,45043204,2744616,313
82,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51855804,4668.139216,nan,51.855804,nan,338,2704,490644,48640904,2721552,338
83,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49050076,4717.189292,nan,49.050076,nan,318,2544,501732,45762744,2783056,318
84,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48645550,4765.834842,nan,48.64555,nan,315,2520,505890,45331020,2806120,315
85,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51272334,4817.107176,nan,51.272334,nan,333,2664,511434,47921364,2836872,333
86,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47251760,4864.358936,nan,47.25176,nan,305,2440,512820,43891940,2844560,305
87,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47827424,4912.18636,nan,47.827424,nan,309,2472,512820,44467572,2844560,309
88,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,46001886,4958.188246,nan,46.001886,nan,296,2368,519750,42596768,2883000,296
89,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53755202,5011.943448,nan,53.755202,nan,350,2800,516978,50367800,2867624,350
90,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50111932,5062.05538,nan,50.111932,nan,325,2600,510048,46770100,2829184,325
91,-100.0,5.0,742,371,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47836498,5109.891878,nan,47.836498,nan,309,2472,514206,44467572,2852248,309
92,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50552754,5160.444632,nan,50.552754,nan,328,2624,511434,47201824,2836872,328
93,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48357718,5208.80235,nan,48.357718,nan,313,2504,505890,45043204,2806120,313
94,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,46998956,5255.801306,nan,46.998956,nan,304,2432,496188,43748032,2752304,304
95,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47583694,5303.385,nan,47.583694,nan,308,2464,497574,44323664,2759992,308
96,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48851716,5352.236716,nan,48.851716,nan,317,2536,493416,45618836,2736928,317
