step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
150,3186,6372,41,41,40,75.128224,10726.562252,232080,1926344,72513360,451000
151,3169,6338,33,33,33,74.26148,10800.823732,231280,1550472,72126440,348800
152,3116,6232,44,44,44,73.47774,10874.301472,228000,2067296,70920160,256300
153,3312,6624,46,46,45,78.219004,10952.520476,245200,2161264,75381120,425300
154,3615,7230,41,41,41,85.13894,11037.659416,264320,1926344,82277400,665300
155,3535,7070,46,46,46,83.53638,11121.195796,257360,2161264,80456600,654900
156,3586,7172,55,55,55,85.04922,11206.245016,262760,2584120,81617360,577500
157,3505,7010,44,44,44,82.3085,11288.553516,243320,2067296,79773800,218100
158,3435,6870,37,37,37,80.28576,11368.839276,245120,1738408,78180600,116600
159,3601,7202,42,42,41,84.472264,11453.31154,268000,1973328,81958760,266600
160,3676,7352,43,43,43,86.27916,11539.5907,262840,2020312,83665760,324400
161,4006,8012,51,51,51,94.51784,11634.10854,287960,2396184,91176560,650200
162,4040,8080,62,62,62,96.00664,11730.11518,290800,2913008,91950400,844000
163,3662,7324,47,47,46,86.619064,11816.734244,274640,2208248,83347120,782800
164,3571,7142,50,50,50,84.37116,11901.105404,268800,2349200,81275960,470400
165,4045,8090,42,42,42,95.01692,11996.122324,295480,1973328,92064200,678200
166,4358,8716,46,46,46,102.25916,12098.381484,324760,2161264,99188080,578800
167,4124,8248,49,49,48,97.036064,12195.417548,296880,2302216,93862240,568200
168,4263,8526,50,50,49,100.029544,12295.447092,303600,2349200,97025880,344200
169,4273,8546,33,33,33,99.51428,12394.961372,310440,1550472,97253480,395400
170,4340,8680,51,51,51,102.00896,12496.970332,314040,2396184,98778400,513400
171,4415,8830,38,38,38,102.92882,12599.899152,320560,1785392,100485400,332300
172,4831,9662,53,53,53,113.30842,12713.207572,357000,2490152,109953560,500500
173,4972,9944,56,56,56,116.48536,12829.692932,360920,2631104,113162720,323000
174,4987,9974,48,48,48,116.6468,12946.339732,369320,2255232,113504120,511600
175,5035,10070,55,55,53,117.873008,13064.21274,361080,2584120,114596600,324000
176,5397,10794,58,58,58,126.56386,13190.7766,381880,2725072,122835720,613300
177,5205,10410,48,48,48,121.49576,13312.27236,363000,2255232,118465800,405200
178,5421,10842,56,56,56,127.0042,13439.27656,390720,2631104,123381960,592800
179,5311,10622,45,45,45,124.02524,13563.3018,398880,2114280,120878360,627600
180,5061,10122,60,60,60,118.99082,13682.29262,369360,2819040,115188360,605900
181,5129,10258,63,63,63,120.51386,13802.80648,374360,2959992,116736040,434900
182,4811,9622,56,56,56,112.83154,13915.63802,344360,2631104,109498360,350100
183,4368,8736,50,50,50,102.35698,14017.995,324000,2349200,99415680,261300
184,3989,7978,39,39,39,93.28286,14111.27786,294240,1832376,90789640,361300
185,3654,7308,47,47,47,85.92658,14197.20444,267600,2208248,83165040,279300
186,3403,6806,41,41,41,80.09088,14277.29532,253680,1926344,77452280,453000
187,3537,7074,41,41,41,82.98656,14360.28188,265920,1926344,80502120,286600
188,3564,7128,46,46,46,84.0276,14444.30948,265440,2161264,81116640,478000
189,3470,6940,37,37,37,81.41038,14525.71986,258640,1738408,78977200,431100
190,3660,7320,57,57,57,86.89992,14612.61978,269880,2678088,83301600,642600
191,3854,7708,49,49,49,90.86502,14703.4848,270800,2302216,87717040,568300
192,3996,7992,46,46,46,94.02182,14797.50662,288840,2161264,90948960,616500
193,4147,8294,64,64,64,98.31058,14895.8172,303080,3006976,94385720,606100
194,4268,8536,43,43,43,99.99542,14995.81262,305480,2020312,97139680,524100
195,3872,7744,55,55,55,91.2991,15087.11172,276480,2584120,88126720,304300
196,3377,6754,45,45,45,79.74598,15166.8577,243560,2114280,76860520,521500
197,3275,6550,53,53,53,77.99444,15244.85214,239480,2490152,74539000,718600
198,3332,6664,57,57,57,79.25418,15324.10632,240320,2678088,75836320,491700
199,3282,6564,41,41,41,77.39554,15401.50186,240000,1926344,74698320,525300
200,2970,5940,62,62,62,70.9816,15472.48346,216160,2913008,67597200,246800
201,2728,5456,43,43,43,64.76116,15537.24462,193520,2020312,62089280,452200
202,2811,5622,46,46,46,67.0171,15604.26172,199520,2161264,63978360,671700
203,2944,5888,51,51,50,70.156764,15674.418484,211640,2396184,67005440,536700
204,2957,5914,38,38,38,69.6613,15744.079784,209520,1785392,67301320,359900
205,2912,5824,52,52,52,69.263,15813.342784,204040,2443168,66277120,331600
206,2911,5822,35,35,35,68.43872,15881.781504,206760,1644440,66254360,328400
207,2904,5808,43,43,43,68.63932,15950.420824,209720,2020312,66095040,308400
208,3031,6062,45,45,45,71.79376,16022.214584,222200,2114280,68985560,465600
209,3212,6424,38,38,38,75.41244,16097.627024,237360,1785392,73105120,279400
210,3110,6220,66,66,66,74.47798,16172.105004,229760,3100944,70783600,354700
211,2787,5574,47,47,47,66.48044,16238.585444,206480,2208248,63432120,627200
212,2700,5400,47,47,47,64.43024,16303.015684,199400,2208248,61452000,564200
213,2519,5038,56,56,56,60.53868,16363.554364,184320,2631104,57332440,383200
214,2338,4676,42,42,42,55.43856,16418.992924,161440,1973328,53212880,85200
215,2359,4718,43,43,43,56.35684,16475.349764,162840,2020312,53690840,477000
216,2493,4986,37,37,37,59.22752,16534.577284,181800,1738408,56740680,561600
217,2594,5188,42,42,42,61.77938,16596.356664,190200,1973328,59039440,570700
218,2750,5500,30,30,30,64.42922,16660.785884,199120,1409520,62590000,226500
219,3018,6036,47,47,47,71.41556,16732.201444,219840,2208248,68689680,291400
220,2876,5752,53,53,53,68.69598,16800.897424,209560,2490152,65457760,531300
221,2692,5384,48,48,48,64.13954,16865.036964,195560,2255232,61269920,412300
222,2785,5570,36,36,36,65.7767,16930.813664,201480,1691424,63386600,492300
223,2900,5800,36,36,36,68.15666,16998.970324,212840,1691424,66004000,243500
224,3073,6146,48,48,48,72.75176,17071.722084,221520,2255232,69941480,327000
225,3179,6358,33,33,33,74.29676,17146.018844,218760,1550472,72354040,169000
226,3259,6518,41,41,41,76.48634,17222.505184,233080,1926344,74174840,146500
227,3248,6496,37,37,36,76.236124,17298.741308,245240,1738408,73924480,323100
228,3221,6442,41,41,41,76.08252,17374.823828,243240,1926344,73309960,597400
229,3247,6494,46,46,46,77.04656,17451.870388,241920,2161264,73901720,735400
230,3511,7022,47,47,47,82.93724,17534.807628,255440,2208248,79910360,556800
231,3524,7048,47,47,47,83.14424,17617.951868,256160,2208248,80206240,467200
232,3758,7516,43,43,43,88.50764,17706.459508,283200,2020312,85532080,666200
233,4126,8252,42,42,42,97.0994,17803.558908,304600,1973328,93907760,908000
234,4333,8666,59,59,59,102.37266,17905.931568,318400,2772056,98619080,655100
235,4478,8956,43,43,43,104.80156,18010.733128,321320,2020312,101919280,534800
236,4766,9532,53,53,53,111.73848,18122.471608,332360,2490152,108474160,434600
237,4851,9702,39,39,39,112.80684,18235.278448,352400,1832376,110408760,208000
238,5073,10146,47,47,47,118.41806,18353.696508,364440,2208248,115461480,377500
239,4751,9502,60,60,60,111.55258,18465.249088,343720,2819040,108132760,248900
240,4354,8708,42,42,42,101.6839,18566.932988,321520,1973328,99097040,286300
241,4151,8302,60,60,60,97.85816,18664.791148,309200,2819040,94476760,245000
242,4129,8258,44,44,44,96.59224,18761.383388,301120,2067296,93976040,241800
243,4137,8274,46,46,46,96.87832,18858.261708,290280,2161264,94158120,262400
244,3991,7982,50,50,50,93.97628,18952.237988,279520,2349200,90835160,505600
245,3595,7190,41,41,41,84.53204,19036.770028,251520,1926344,81822200,526400
246,3489,6978,48,48,48,82.398,19119.168028,248000,2255232,79409640,478600
247,3462,6924,32,32,32,80.72414,19199.892168,249680,1503488,78795120,171500
248,3768,7536,34,34,34,88.07148,19287.963648,281720,1597456,85759680,428000
249,4107,8214,55,55,55,97.25688,19385.220528,309960,2584120,93475320,880000
250,4102,8204,47,47,47,96.36684,19481.587368,292480,2208248,93361520,498200
251,4357,8714,49,49,49,102.27428,19583.861648,306080,2302216,99165320,494000
252,4459,8918,36,36,36,103.81142,19687.673068,309960,1691424,101486840,318300
253,4614,9228,41,41,41,107.71748,19795.390548,329320,1926344,105014640,441600
254,4565,9130,48,48,48,106.8395,19902.230048,333240,2255232,103899400,345100
255,4517,9034,39,39,39,105.2332,20007.463248,334600,1832376,102806920,254000
256,4692,9384,49,49,49,109.93974,20117.402988,345240,2302216,106789920,495700
257,4901,9802,54,54,54,114.58138,20231.984368,356240,2537136,111546760,133900
258,4771,9542,59,59,59,112.11084,20344.095208,336800,2772056,108587960,406000
259,4233,8466,43,43,43,98.90406,20442.999268,298120,2020312,96343080,236700
260,3783,7566,46,46,46,89.0815,20532.080768,283800,2161264,86101080,529100
261,3520,7040,47,47,47,83.07108,20615.151848,262440,2208248,80115200,478800
262,3180,6360,55,55,55,75.68716,20690.839008,238760,2584120,72376800,480000
263,2957,5914,47,47,47,70.2167,20761.055708,220840,2208248,67301320,479900
264,3281,6562,40,40,40,77.14778,20838.203488,234120,1879360,74675560,353300
265,3376,6752,25,25,25,78.52734,20916.730828,242880,1174600,76837760,268700
266,3167,6334,41,41,41,74.4806,20991.211428,235960,1926344,72080920,231800
267,3158,6316,37,37,37,74.05678,21065.268208,230960,1738408,71876080,206300
268,3118,6236,42,42,42,73.60332,21138.871528,233200,1973328,70965680,425400
269,3133,6266,46,46,46,74.14886,21213.020388,233960,2161264,71307080,440300
270,3356,6712,36,36,36,78.67658,21291.696968,250400,1691424,76382560,347300
271,3343,6686,40,40,40,78.65956,21370.356528,243680,1879360,76086680,444400
272,3274,6548,36,36,36,76.77374,21447.130268,240080,1691424,74516240,321100
273,3308,6616,42,42,42,77.60764,21524.737908,242520,1973328,75290080,96000
274,3351,6702,46,46,46,78.84328,21603.581188,249400,2161264,76268760,157600
275,3364,6728,36,36,36,78.75636,21682.337548,244600,1691424,76564640,250800
276,3314,6628,49,49,49,78.243,21760.580548,234080,2302216,75426640,273400
277,3236,6472,43,43,43,76.47174,21837.052288,231320,2020312,73651360,562900
278,2795,5590,41,41,41,66.213,21903.265288,200480,1926344,63614200,466400
279,2461,4922,49,49,47,58.692208,21961.957496,175240,2302216,56012360,196000
280,2483,4966,31,31,31,58.56134,22020.518836,173640,1456504,56513080,413900
281,2426,4852,37,37,36,57.470984,22077.98982,167320,1738408,55215760,344600
282,2116,4232,26,26,26,49.79368,22127.7835,147400,1221584,48160160,261000
283,2003,4006,28,28,28,47.27068,22175.05418,147240,1315552,45588280,215800
284,2038,4076,45,45,43,48.934108,22223.988288,149200,2114280,46384880,279900
285,2081,4162,26,26,26,48.99394,22272.982228,153160,1221584,47363560,252100
286,2254,4508,37,37,37,53.55202,22326.534248,164840,1738408,51301040,342700
287,2378,4756,38,38,37,56.707304,22383.241552,175800,1785392,54123280,617800
288,2497,4994,34,34,34,59.23682,22442.478372,181720,1597456,56831720,621300
289,2665,5330,52,52,51,63.576584,22506.054956,194280,2443168,60655400,276800
290,2733,5466,34,34,32,64.239368,22570.294324,192280,1597456,62203080,242200
291,2840,5680,35,35,35,66.68746,22636.981784,198160,1644440,64638400,201700
292,2839,5678,41,41,41,66.91242,22703.894204,206360,1926344,64615640,158500
293,2659,5318,41,41,41,63.02298,22766.917184,196120,1926344,60518840,376100
294,2723,5446,42,42,42,64.5736,22831.490784,194880,1973328,61975480,424200
295,2602,5204,37,37,37,61.32772,22892.818504,188560,1738408,59221520,174200
296,2841,5682,44,44,44,67.43372,22960.252224,203680,2067296,64661160,495600
297,2619,5238,37,37,37,61.95974,23022.211964,188160,1738408,59608440,419700
298,2532,5064,45,45,45,60.22182,23082.433784,190600,2114280,57628320,282500
299,2366,4732,41,41,41,56.18704,23138.620824,176960,1926344,53850160,228000
300,2449,4898,30,30,29,57.550064,23196.170888,176360,1409520,55739240,221000
301,2623,5246,39,39,39,62.07284,23258.243728,189680,1832376,59699480,346000
302,2682,5364,30,30,30,62.81746,23321.061188,190840,1409520,61042320,170700
303,2626,5252,36,36,36,61.93064,23382.991828,189360,1691424,59767760,277200
304,2620,5240,35,35,35,61.82214,23444.813968,189840,1644440,59631200,351900
305,2649,5298,36,36,36,62.44118,23507.255148,193520,1691424,60291240,260100
306,2692,5384,36,36,36,63.50326,23570.758408,196520,1691424,61269920,340500
307,2769,5538,40,40,40,65.4554,23636.213808,206360,1879360,63022440,341800
308,2669,5338,46,46,46,63.5572,23699.771008,201640,2161264,60746440,441600
309,2644,5288,47,47,47,63.06752,23762.838528,201240,2208248,60177440,474200
310,2588,5176,42,42,41,61.739604,23824.578132,194920,1973328,58902880,662900
311,2830,5660,40,40,40,67.16944,23891.747572,207840,1879360,64410800,666000
312,3068,6136,43,43,43,72.64098,23964.388552,224240,2020312,69827680,562900
313,3069,6138,33,33,33,71.88332,24036.271872,218520,1550472,69850440,259400
314,2926,5852,37,37,37,68.76986,24105.041732,214160,1738408,66595760,216500
315,2944,5888,45,45,45,69.73336,24174.775092,215520,2114280,67005440,392000
316,2931,5862,61,61,61,70.30128,24245.076372,219000,2866024,66709560,498400
317,2832,5664,37,37,37,66.7683,24311.844672,213640,1738408,64456320,354900
318,2856,5712,37,37,37,67.19148,24379.036152,212680,1738408,65002560,232800
319,2899,5798,38,38,37,68.198444,24447.234596,210080,1785392,65981240,216700
320,2942,5884,38,38,38,69.19084,24516.425436,209560,1785392,66959920,230800
321,2854,5708,43,43,43,67.3638,24583.789236,198400,2020312,64957040,182200
322,2831,5662,39,39,39,66.74618,24650.535416,212040,1832376,64433560,262900
323,2794,5588,33,33,33,65.51938,24716.054796,202080,1550472,63591440,170900
324,2817,5634,42,42,42,66.44212,24782.496916,202160,1973328,64114920,146000
325,3087,6174,41,41,41,73.01976,24855.516676,221720,1926344,70260120,606000
326,3045,6090,54,54,54,72.92908,24928.445756,217800,2537136,69304200,862600
327,3118,6236,42,42,42,74.0305,25002.476256,227680,1973328,70965680,858100
328,2965,5930,41,41,41,70.25842,25072.734676,220800,1926344,67483400,622300
329,2903,5806,55,55,55,69.13286,25141.867536,212280,2584120,66072280,256700
330,2606,5212,41,41,41,61.59714,25203.464676,188560,1926344,59312560,164100
331,2523,5046,52,52,52,60.3059,25263.770576,178880,2443168,57423480,253300
332,2569,5138,44,44,44,60.93672,25324.707296,184000,2067296,58470440,209000
