method_order,method,method_label,zone,building_score,vehicle_score,replicates,rmse,rmse_ci95,feasible_rmse,feasible_rmse_ci95,nonfeasible_rmse,nonfeasible_rmse_ci95,communication_mb_per_s,communication_mb_per_s_ci95
4,every1,Top 1,factor_b2_v2,2,2,5,15.400405862415392,0.6203562842537853,9.650912763624062,0.26467826932183286,19.40686028864352,0.9587036796464481,13.4205137952,2.866134238570833
4,every1,Top 1,factor_b2_v3,2,3,5,13.133576726361536,0.438995209765423,9.867172221718743,0.7059721049625448,18.18227380749552,0.7922340286800357,26.0043226816,9.52288872268655
4,every1,Top 1,factor_b3_v1,3,1,5,17.91866295916706,2.6388796885058023,23.072254909610383,5.139135341842513,9.969657337463115,2.947388779966834,3.3384448512,1.652223882297779
4,every1,Top 1,factor_b3_v2,3,2,5,13.031684016021037,0.8602829529593266,9.739453804043022,1.7959756948689505,15.24511280874855,0.5521231288972681,13.6421251424,3.802501077848538
4,every1,Top 1,factor_b3_v3,3,3,5,10.795363258360425,0.6468514585203334,10.729158781425395,0.8870282752460088,10.847303935342378,0.9454300695812298,21.4915117664,5.399160865067753
5,every5,Every 5,factor_b1_v1,1,1,5,20.03412152684448,2.5301355966187407,15.808798366426362,4.589610537436739,26.593174202371824,3.932609506686184,1.1857716032,0.5712066996306348
5,every5,Every 5,factor_b1_v2,1,2,5,17.417361947213017,1.0792724551300616,16.25274258583651,1.8600640624517153,19.38101251453876,0.5892372649798073,1.8810740064,0.6296770922622498
5,every5,Every 5,factor_b1_v3,1,3,5,15.056003359532761,1.086075315875841,14.895843461371138,1.143337349398354,21.1443106543802,1.5203468660868926,2.3988860256000004,0.15505854549531364
5,every5,Every 5,factor_b2_v1,2,1,5,17.14105801422129,0.8490322130569132,19.51346972283165,1.4389926501369799,14.295297951691555,0.8518131109338588,1.5470405120000001,0.5605442426957254
5,every5,Every 5,factor_b2_v2,2,2,5,16.99633935492401,0.37062391463834515,14.917571365065749,0.5376049447965687,18.4547118923621,0.8384668109642106,2.686523664,0.5749791824594913
5,every5,Every 5,factor_b2_v3,2,3,5,15.642415657277974,0.6818005016543561,13.999459586405091,0.4341765351847316,18.53063698128996,1.7620839552927199,5.2096548992,1.9036128001813406
5,every5,Every 5,factor_b3_v1,3,1,5,19.969190704738857,2.1104385955985476,27.703031285901478,3.675209712185796,7.517376302990778,1.456036404838747,0.5405299008,0.22436839781425186
5,every5,Every 5,factor_b3_v2,3,2,5,14.573054814871227,0.8388667764363871,15.214703070133405,1.347229055842646,13.787907663575345,0.5771038267429587,2.7218037984,0.7605552582476599
5,every5,Every 5,factor_b3_v3,3,3,5,13.365511424315864,0.35437173435075253,15.385248033004126,0.46200304812038906,10.313195691786301,0.8827999358050709,4.2348165375999995,1.054151516943185
6,every10,Every 10,factor_b1_v1,1,1,5,21.89270401828936,2.576811637868478,19.686780571907423,4.292315384428252,24.29082649694358,3.5680717960017563,0.5869085888,0.2928355324230525
6,every10,Every 10,factor_b1_v2,1,2,5,18.669465050733372,1.2254991470603955,18.374591398361503,1.9749142323675652,18.6849783634378,0.7429598687282133,0.9174090464000001,0.31224473530526003
6,every10,Every 10,factor_b1_v3,1,3,5,17.7155748775299,1.0570687735894253,17.724988740348614,1.0745187902860767,16.695021222195948,1.0546033947396587,1.1584907232,0.07118289872833264
6,every10,Every 10,factor_b2_v1,2,1,5,18.151361554664103,1.1183658307655648,22.33872002311053,2.546716748693976,12.59005430707203,2.0094909951324,0.7355497024,0.30362574287907124
6,every10,Every 10,factor_b2_v2,2,2,5,18.05767150925694,1.263377378835896,17.535737926407627,1.3876583360582662,18.013467587398264,2.171245906732132,1.3392363136,0.28564996239161544
6,every10,Every 10,factor_b2_v3,2,3,5,16.93073055104578,0.203124141810679,16.23259449933949,0.5882008409686725,18.15489526349709,0.9161655003362081,2.6052054399999998,0.9495227816466387
6,every10,Every 10,factor_b3_v1,3,1,5,21.904082851395586,1.8674996499009875,31.14083086983848,3.0413333362164843,5.991086037079279,1.2497047182136334,0.24105477120000002,0.10440140608215798
6,every10,Every 10,factor_b3_v2,3,2,5,15.936791115087237,0.7460507118106556,18.232338438127986,1.017048255589909,13.363716111183475,0.4887336623652779,1.3401594464,0.38561097391305554
6,every10,Every 10,factor_b3_v3,3,3,5,14.59256027748074,0.6917593744252477,17.538691887268584,1.234182793063321,9.78763406599576,1.1516222500894218,2.0737443616,0.5335632438318257
7,every20,Every 20,factor_b1_v1,1,1,5,24.603166945176792,2.5821832500039616,24.89847108008885,4.219878027603307,21.085747257842904,4.458870687755906,0.280729936,0.13963166817981562
7,every20,Every 20,factor_b1_v2,1,2,5,21.174590809176518,1.4158882060448017,22.452713052837304,2.0859872768770296,17.29133320551602,1.0218293288986673,0.41639245440000006,0.14525517461033374
7,every20,Every 20,factor_b1_v3,1,3,5,20.55341971559026,1.2486709355665775,20.639752143314883,1.274936887777882,15.202009626973503,0.3574463994105327,0.5450661567999999,0.02737289972786922
7,every20,Every 20,factor_b2_v1,2,1,5,19.59957233557977,1.21955010190255,25.897339823454267,2.5094863678968014,10.281481127154924,1.8867892936278672,0.3232801696,0.15709888569347946
7,every20,Every 20,factor_b2_v2,2,2,5,18.418006592223716,1.1853747517818662,21.589788086227383,1.6487035562213426,13.67134350693,3.798742227805944,0.6103850752,0.16358389816322313
7,every20,Every 20,factor_b2_v3,2,3,5,19.608899172809434,0.9798623643204504,19.743398013371365,1.2603455794506766,19.027401147063564,1.9506788814007852,1.2504112544,0.44684066041304477
