zone	replicate	stage	configuration	job_id	dependency	output
factor_b1_v1_300m	5	simulation	central	2205382	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/central_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	full	2205383	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/full_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	top5	2205384	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every1	2205385	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every5	2205386	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every5_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every10	2205387	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every10_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every20	2205388	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every40	2205389	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v1_300m	5	simulation	every80	2205390	afterok:2205380	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	2	mobility	-	2205391	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep2/mobility/factor_b1_v2_300m_rep2_all_vehicles_1s_full1800.json
factor_b1_v2_300m	2	raytrace	-	2205392	afterok:2205391	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep2/rssi/shards
factor_b1_v2_300m	2	merge	-	2205393	afterok:2205392	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep2/rssi/factor_b1_v2_300m_rep2_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
