step,active_count,active_ids
282,0,
283,0,
284,0,
285,0,
286,0,
287,0,
288,0,
289,0,
290,0,
291,0,
292,0,
293,0,
294,0,
295,0,
296,1,dyn_southwest_modular_building
297,1,dyn_southwest_modular_building
298,1,dyn_southwest_modular_building
299,1,dyn_southwest_modular_building
300,1,dyn_southwest_modular_building
301,1,dyn_southwest_modular_building
302,1,dyn_southwest_modular_building
303,1,dyn_southwest_modular_building
304,1,dyn_southwest_modular_building
305,1,dyn_southwest_modular_building
306,1,dyn_southwest_modular_building
307,1,dyn_southwest_modular_building
308,1,dyn_southwest_modular_building
309,1,dyn_southwest_modular_building
310,1,dyn_southwest_modular_building
311,1,dyn_southwest_modular_building
312,1,dyn_southwest_modular_building
313,1,dyn_southwest_modular_building
314,1,dyn_southwest_modular_building
315,0,
316,0,
317,0,
318,1,dyn_northeast_modular_building
319,1,dyn_northeast_modular_building
320,1,dyn_northeast_modular_building
321,1,dyn_northeast_modular_building
322,1,dyn_northeast_modular_building
323,1,dyn_northeast_modular_building
324,1,dyn_northeast_modular_building
325,1,dyn_northeast_modular_building
326,1,dyn_northeast_modular_building
327,1,dyn_northeast_modular_building
328,1,dyn_northeast_modular_building
329,1,dyn_northeast_modular_building
330,1,dyn_northeast_modular_building
331,1,dyn_northeast_modular_building
332,1,dyn_northeast_modular_building
333,1,dyn_northeast_modular_building
334,1,dyn_northeast_modular_building
335,1,dyn_northeast_modular_building
336,1,dyn_northeast_modular_building
337,1,dyn_northeast_modular_building
338,1,dyn_northeast_modular_building
339,2,dyn_southwest_modular_building;dyn_northeast_modular_building
340,2,dyn_southwest_modular_building;dyn_northeast_modular_building
341,2,dyn_southwest_modular_building;dyn_northeast_modular_building
342,2,dyn_southwest_modular_building;dyn_northeast_modular_building
343,2,dyn_southwest_modular_building;dyn_northeast_modular_building
344,2,dyn_southwest_modular_building;dyn_northeast_modular_building
345,2,dyn_southwest_modular_building;dyn_northeast_modular_building
346,2,dyn_southwest_modular_building;dyn_northeast_modular_building
347,1,dyn_southwest_modular_building
348,1,dyn_southwest_modular_building
349,1,dyn_southwest_modular_building
350,1,dyn_southwest_modular_building
351,1,dyn_southwest_modular_building
352,1,dyn_southwest_modular_building
353,1,dyn_southwest_modular_building
354,1,dyn_southwest_modular_building
355,1,dyn_southwest_modular_building
356,1,dyn_southwest_modular_building
357,1,dyn_southwest_modular_building
358,0,
359,0,
360,0,
361,0,
362,0,
363,0,
364,0,
