step,active_count,active_ids
224,1,dyn_a4_existing_dense_block
225,0,
226,0,
227,0,
228,0,
229,0,
230,0,
231,0,
232,0,
233,0,
234,0,
235,0,
236,0,
237,0,
238,0,
239,0,
240,1,dyn_a3_existing_sparse_block
241,1,dyn_a3_existing_sparse_block
242,1,dyn_a3_existing_sparse_block
243,1,dyn_a3_existing_sparse_block
244,1,dyn_a3_existing_sparse_block
245,1,dyn_a3_existing_sparse_block
246,1,dyn_a3_existing_sparse_block
247,1,dyn_a3_existing_sparse_block
248,1,dyn_a3_existing_sparse_block
249,1,dyn_a3_existing_sparse_block
250,1,dyn_a3_existing_sparse_block
251,1,dyn_a3_existing_sparse_block
252,1,dyn_a3_existing_sparse_block
253,1,dyn_a3_existing_sparse_block
254,1,dyn_a3_existing_sparse_block
255,1,dyn_a3_existing_sparse_block
256,1,dyn_a3_existing_sparse_block
257,1,dyn_a3_existing_sparse_block
258,1,dyn_a3_existing_sparse_block
259,1,dyn_a3_existing_sparse_block
260,0,
261,0,
262,0,
263,0,
264,0,
265,0,
266,0,
267,0,
268,0,
269,0,
270,0,
271,0,
272,0,
273,0,
274,0,
275,1,dyn_a4_existing_dense_block
276,1,dyn_a4_existing_dense_block
277,1,dyn_a4_existing_dense_block
278,1,dyn_a4_existing_dense_block
279,1,dyn_a4_existing_dense_block
280,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
281,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
282,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
283,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
284,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
285,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
286,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
287,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
288,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
289,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
290,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
291,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
292,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
293,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
294,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
295,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
296,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
297,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
298,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
299,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
300,1,dyn_a4_existing_dense_block
301,1,dyn_a4_existing_dense_block
302,1,dyn_a4_existing_dense_block
303,1,dyn_a4_existing_dense_block
304,1,dyn_a4_existing_dense_block
305,1,dyn_a4_existing_dense_block
306,1,dyn_a4_existing_dense_block
307,1,dyn_a4_existing_dense_block
308,1,dyn_a4_existing_dense_block
309,1,dyn_a4_existing_dense_block
310,1,dyn_a4_existing_dense_block
311,1,dyn_a4_existing_dense_block
312,1,dyn_a4_existing_dense_block
313,1,dyn_a4_existing_dense_block
314,1,dyn_a4_existing_dense_block
315,1,dyn_a4_existing_dense_block
316,1,dyn_a4_existing_dense_block
317,1,dyn_a4_existing_dense_block
318,1,dyn_a4_existing_dense_block
319,1,dyn_a4_existing_dense_block
320,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
321,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
322,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
323,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
324,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
325,1,dyn_a3_existing_sparse_block
326,1,dyn_a3_existing_sparse_block
327,1,dyn_a3_existing_sparse_block
328,1,dyn_a3_existing_sparse_block
329,1,dyn_a3_existing_sparse_block
330,1,dyn_a3_existing_sparse_block
331,1,dyn_a3_existing_sparse_block
332,1,dyn_a3_existing_sparse_block
333,1,dyn_a3_existing_sparse_block
334,1,dyn_a3_existing_sparse_block
335,1,dyn_a3_existing_sparse_block
336,1,dyn_a3_existing_sparse_block
337,1,dyn_a3_existing_sparse_block
338,1,dyn_a3_existing_sparse_block
339,1,dyn_a3_existing_sparse_block
340,0,
341,0,
342,0,
343,0,
344,0,
345,0,
346,0,
347,0,
348,0,
349,0,
350,0,
351,0,
352,0,
353,0,
354,0,
355,0,
356,0,
357,0,
358,0,
359,0,
360,1,dyn_a3_existing_sparse_block
361,1,dyn_a3_existing_sparse_block
362,1,dyn_a3_existing_sparse_block
363,1,dyn_a3_existing_sparse_block
364,1,dyn_a3_existing_sparse_block
365,1,dyn_a3_existing_sparse_block
366,1,dyn_a3_existing_sparse_block
367,1,dyn_a3_existing_sparse_block
368,1,dyn_a3_existing_sparse_block
369,1,dyn_a3_existing_sparse_block
370,1,dyn_a3_existing_sparse_block
371,1,dyn_a3_existing_sparse_block
372,1,dyn_a3_existing_sparse_block
373,1,dyn_a3_existing_sparse_block
374,1,dyn_a3_existing_sparse_block
375,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
376,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
377,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
378,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
379,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
380,1,dyn_a4_existing_dense_block
381,1,dyn_a4_existing_dense_block
382,1,dyn_a4_existing_dense_block
383,1,dyn_a4_existing_dense_block
384,1,dyn_a4_existing_dense_block
385,1,dyn_a4_existing_dense_block
386,1,dyn_a4_existing_dense_block
